row_label_raw,row_label_full,col_0,Vốn điều lệ VND,Thăng dư vốn cổ phần VND,Quỹ của TCTD VND,Lợi nhuận chưa phân phối VND,Tổng công VND,numeric__Vốn điều lệ VND,numeric__Thăng dư vốn cổ phần VND,numeric__Quỹ của TCTD VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng công VND
Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,10.959.063.430.000,1.702.961.297.348(275.000.000),1.605.440.094.315,3.167.918.304.400,17.435.383.126.063(275.000.000),10959063430000.0,,1605440094315.0,3167918304400.0,
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,1.702.961.297.348(275.000.000),-,-,17.435.383.126.063(275.000.000),,,,,
Tăng vốn từ chia cổ tức bằng cổ phiếu,Giảm trong năm > Tăng vốn từ chia cổ tức bằng cổ phiếu,Tăng vốn từ chia cổ tức bằng cổ phiếu,2.739.765.200.000,-,-,(2.739.765.200.000),-,2739765200000.0,,,-2739765200000.0,
Lợi nhuận thuần trong năm,Giảm trong năm > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,4.404.958.967.802,4.404.958.967.802,,,,4404958967802.0,4404958967802.0
Trích lập các quỹ,Giảm trong năm > Trích lập các quỹ,Trích lập các quỹ,-,-,661.400.209.249,(661.400.209.249),-,,,661400209249.0,-661400209249.0,
"Trích lập quỹ khen thưởng, phúc lợi","Giảm trong năm > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(35.057.693.510),(35.057.693.510),,,,-35057693510.0,-35057693510.0
Số dư tại ngày 31 tháng 12 năm 2021,Giảm trong năm > Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,13.698.828.630.000,1.702.686.297.348,2.266.840.303.564,4.136.654.169.443,21.805.009.400.355,13698828630000.0,1702686297348.0,2266840303564.0,4136654169443.0,21805009400355.0
