row_label_raw,row_label_full,Thuế giá trị gia tăng,Số phải nộpđầu nămVND > 50.205.684.778,Số phải thuđầu nămVND > -,Phát sinh trong năm > Số phải nộpVND > 133.534.077.063,Phát sinh trong năm > Số đã nộpVND > (151.025.508.514),Số phải nộpcuối nămVND > 32.752.423.314,Số phải thucuối nămVND > 38.169.987,numeric__Số phải nộpđầu nămVND > 50.205.684.778,numeric__Số phải thuđầu nămVND > -,numeric__Phát sinh trong năm > Số phải nộpVND > 133.534.077.063,numeric__Phát sinh trong năm > Số đã nộpVND > (151.025.508.514),numeric__Số phải nộpcuối nămVND > 32.752.423.314,numeric__Số phải thucuối nămVND > 38.169.987
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,381.580.224.510,76.779.234,1.113.593.994.467,(1.154.658.377.336),340.906.639.342,467.576.935,381580224510.0,76779234.0,1113593994467.0,-1154658377336.0,340906639342.0,467576935.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,11.860.559.501,-,116.061.766.019,(118.449.229.176),9.473.096.344,-,11860559501.0,,116061766019.0,-118449229176.0,9473096344.0,
Thuế nhà thầu,Thuế nhà thầu,Thuế nhà thầu,2.822.021.539,-,17.026.602.260,(19.073.140.694),775.483.105,-,2822021539.0,,17026602260.0,-19073140694.0,775483105.0,
Thuế nhà đất,Thuế nhà đất,Thuế nhà đất,-,-,66.176.727,(66.176.727),-,-,,,66176727.0,-66176727.0,,
Thuế khác,Thuế khác,Thuế khác,-,-,140.500.000,(140.500.000),-,-,,,140500000.0,-140500000.0,,
,,,446.468.490.328,76.779.234,1.380.423.116.536,(1.443.412.932.447),383.907.642.105,505.746.922,446468490328.0,76779234.0,1380423116536.0,-1443412932447.0,383907642105.0,505746922.0
