row_label_raw,row_label_full,col_0,Kinh doanh VND,Cho vay và phải thu VND,Sản sàng để bán VND,Tài sản/(Công nợ) khác hạch toán theo giá trị phân bổ VND,Tổng cộng giá trị ghi sở VND,Giá trị hợp lý,numeric__Kinh doanh VND,numeric__Cho vay và phải thu VND,numeric__Sản sàng để bán VND,numeric__Tài sản/(Công nợ) khác hạch toán theo giá trị phân bổ VND,numeric__Tổng cộng giá trị ghi sở VND,numeric__Giá trị hợp lý
Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,,,,,,
"Tiền mặt, vàng bạc, đá quý","Các tài sản tài chính > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,-,713.556.130.605,713.556.130.605,713.556.130.605,,,,713556130605.0,713556130605.0,713556130605.0
Tiền gửi tại NHNN,Các tài sản tài chính > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,-,3.852.855.231.576,3.852.855.231.576,(*),,,,3852855231576.0,3852855231576.0,
"Tiền gửi và cấp tín dụng cho các tổ chức tài chính, các TCTD khác","Các tài sản tài chính > Tiền gửi và cấp tín dụng cho các tổ chức tài chính, các TCTD khác","Tiền gửi và cấp tín dụng cho các tổ chức tài chính, các TCTD khác",-,1.463.116.879.042,-,21.131.422.167.710,22.594.539.046.752,(*),,1463116879042.0,,21131422167710.0,22594539046752.0,
Chứng khoán kinh doanh - gộp,Các tài sản tài chính > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,4.565.000.020.000,-,,,4.565.000.020.000,(*),4565000020000.0,,,,4565000020000.0,
Các công cụ tài chính phải sinh và tài sản tài chính khác,Các tài sản tài chính > Các công cụ tài chính phải sinh và tài sản tài chính khác,Các công cụ tài chính phải sinh và tài sản tài chính khác,-,-,-,125.806.840.360,125.806.840.360,(*),,,,125806840360.0,125806840360.0,
Cho vay khách hàng - gộp,Các tài sản tài chính > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,-,102.050.733.038.455,-,-,102.050.733.038.455,(*),,102050733038455.0,,,102050733038455.0,
Hoạt động mua nợ - gộp,Các tài sản tài chính > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,-,667.000.000,-,-,667.000.000,(*),,667000000.0,,,667000000.0,
Chứng khoán sẵn sàng để bán - gộp,Các tài sản tài chính > Chứng khoán sẵn sàng để bán - gộp,Chứng khoán sẵn sàng để bán - gộp,-,-,40.980.428.800.914,-,40.980.428.800.914,(*),,,40980428800914.0,,40980428800914.0,
Tài sản tài chính khác - gộp,Các tài sản tài chính > Tài sản tài chính khác - gộp,Tài sản tài chính khác - gộp,-,7.982.341.066.890,-,-,7.982.341.066.890,(*),,7982341066890.0,,,7982341066890.0,
,,,4.565.000.020.000,111.496.857.984.387,40.980.428.800.914,25.823.640.370.251,182.865.927.175.552,,4565000020000.0,111496857984387.0,40980428800914.0,25823640370251.0,182865927175552.0,
Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,,,,,,
Các khoản nợ Chính phủ và NHNN,Các công nợ tài chính > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,130.606.957.051,130.606.957.051,(*),,,,130606957051.0,130606957051.0,
"Tiền gửi và vay các tổ chức tài chính, các TCTD khác","Các công nợ tài chính > Tiền gửi và vay các tổ chức tài chính, các TCTD khác","Tiền gửi và vay các tổ chức tài chính, các TCTD khác",-,-,-,32.038.024.327.577,32.038.024.327.577,(*),,,,32038024327577.0,32038024327577.0,
Tiền gửi của khách hang,Các công nợ tài chính > Tiền gửi của khách hang,Tiền gửi của khách hang,-,-,-,98.804.612.775.544,98.804.612.775.544,(*),,,,98804612775544.0,98804612775544.0,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Các công nợ tài chính > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,4.996.402.838.269,4.996.402.838.269,,,,,4996402838269.0,4996402838269.0,
Phát hành giấy tờ có giá,Các công nợ tài chính > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,22.628.650.000.000,22.628.650.000.000,(*),,,,22628650000000.0,22628650000000.0,
Các khoản nợ tài chính khác,Các công nợ tài chính > Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,3.505.337.056.915,3.505.337.056.915,(*),,,,3505337056915.0,3505337056915.0,
,,,-,-,-,162.103.633.955.356,162.103.633.955.356,,,,,162103633955356.0,162103633955356.0,
