row_label_raw,row_label_full,col_0,Giá trị số sách > Số dư cuối năm VND,Giá trị số sách > Số dư đầu năm VND,numeric__Giá trị số sách > Số dư cuối năm VND,numeric__Giá trị số sách > Số dư đầu năm VND
Bất động sản,Bất động sản,Bất động sản,155.894.937.631.227,128.560.011.795.494,155894937631227.0,128560011795494.0
Động sản,Động sản,Động sản,21.962.521.113.834,18.314.209.243.194,21962521113834.0,18314209243194.0
Giấy tờ có giá,Giấy tờ có giá,Giấy tờ có giá,32.389.669.891.827,33.526.613.609.358,32389669891827.0,33526613609358.0
Tài sản khác,Tài sản khác,Tài sản khác,36.341.673.758.153,25.231.071.047.638,36341673758153.0,25231071047638.0
,,,246.588.802.395.041,205.631.905.695.684,246588802395041.0,205631905695684.0
