row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2021,Tổng giá trị cửa hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) VND > Tại ngày 31 tháng 12 năm 2021,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Tài sản VND > Tại ngày 31 tháng 12 năm 2021,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Nợ phải trả VND > Tại ngày 31 tháng 12 năm 2021,numeric__Tổng giá trị cửa hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) VND > Tại ngày 31 tháng 12 năm 2021,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Tài sản VND > Tại ngày 31 tháng 12 năm 2021,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Nợ phải trả VND > Tại ngày 31 tháng 12 năm 2021
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,,,
Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,2.581.872.804.737,-,6.946.475.644,2581872804737.0,,6946475644.0
Giao dịch hoán đối tiền tệ,Công cụ tài chính phải sinh tiền tệ > Giao dịch hoán đối tiền tệ,Giao dịch hoán đối tiền tệ,46.457.003.436.235,109.453.316.004,-,46457003436235.0,109453316004.0,
Giao dịch hoán đối lãi suất hai đồng tiền,Công cụ tài chính phải sinh tiền tệ > Giao dịch hoán đối lãi suất hai đồng tiền,Giao dịch hoán đối lãi suất hai đồng tiền,1.389.200.000.000,23.300.000.000,-,1389200000000.0,23300000000.0,
,,,50.428.076.240.972,132.753.316.004,6.946.475.644,50428076240972.0,132753316004.0,6946475644.0
,,,,125.806.840.360,,,125806840360.0,
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,,,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,,,
Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,671.492.178.073,8.528.286.555,-,671492178073.0,8528286555.0,
Giao dịch hoán đối tiền tệ,Công cụ tài chính phải sinh tiền tệ > Giao dịch hoán đối tiền tệ,Giao dịch hoán đối tiền tệ,26.969.717.439.179,53.642.436.648,-,26969717439179.0,53642436648.0,
Giao dịch hoán đối lãi suất hai đồng tiền,Công cụ tài chính phải sinh tiền tệ > Giao dịch hoán đối lãi suất hai đồng tiền,Giao dịch hoán đối lãi suất hai đồng tiền,1.245.700.000.000,3.417.414.537,-,1245700000000.0,3417414537.0,
,,,28.886.909.617.252,65.588.137.740,-,28886909617252.0,65588137740.0,
,,,,65.588.137.740,,,65588137740.0,
