row_label_raw,row_label_full,Cao Su TrungNguyên,Công ty con củacông ty có cùngthành viên HĐQT,Tạm ứng mua hàng hóa,28.257.752,col_4,numeric__Công ty con củacông ty có cùngthành viên HĐQT,numeric__Tạm ứng mua hàng hóa,numeric__28.257.752,numeric__col_4
Đại Thắng,Đại Thắng,Đại Thắng,Công ty trongcùng Tập đoàn,Tạm ứng mua hàng hóa,5.434.295,32.006.466,,,5434295.0,32006466.0
Cao Su Eastern,Cao Su Eastern,Cao Su Eastern,Công ty con củacông ty có cùngthành viên HĐQT,Tạm ứng mua hàng hóa,3.351.521,,,,3351521.0,
HAG,HAG,HAG,Công ty mẹ,Tạm ứng mua hàng hóa,-,2.612.803,,,,2612803.0
Khác,Khác,Khác,Bên liên quan,Tạm ứng mua hàng hóa,2.633.842,,,,2633842.0,
,,,,,39.677.410,34.619.269,,,39677410.0,34619269.0
