row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải trả tiền mượn các công ty và cá nhân,Ngắn hạn > Phải trả tiền mượn các công ty và cá nhân,Phải trả tiền mượn các công ty và cá nhân,205.710.224,383.737.755,205710224.0,383737755.0
Phải trả tiền thuê đất,Ngắn hạn > Phải trả tiền thuê đất,Phải trả tiền thuê đất,68.603.644,77.030.840,68603644.0,77030840.0
Phải trả ngắn hạn khác,Ngắn hạn > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,197.462.757,30.770.128,197462757.0,30770128.0
,,,471.776.625,491.538.723,471776625.0,491538723.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải trả tiền mượn các công ty và cá nhân,Dài hạn > Phải trả tiền mượn các công ty và cá nhân,Phải trả tiền mượn các công ty và cá nhân,127.926.968,326.733.232,127926968.0,326733232.0
Phải trả tiền thuê đất,Dài hạn > Phải trả tiền thuê đất,Phải trả tiền thuê đất,113.111.079,112.132.020,113111079.0,112132020.0
Phải trả về hợp tác kinh doanh,Dài hạn > Phải trả về hợp tác kinh doanh,Phải trả về hợp tác kinh doanh,-,550.000.000,,550000000.0
,,,241.038.047,988.865.252,241038047.0,988865252.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,712.814.672,1.480.403.975,712814672.0,1480403975.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên thứ ba,Trong đó: > Phải trả các bên thứ ba,Phải trả các bên thứ ba,492.104.005,644.178.084,492104005.0,644178084.0
Phải trả các bên liên quan (TM số 33),Phải trả các bên liên quan (TM số 33),Phải trả các bên liên quan (TM số 33),,,,
- Ngắn hạn,Phải trả các bên liên quan (TM số 33) > - Ngắn hạn,- Ngắn hạn,194.735.337,207.292.780,194735337.0,207292780.0
- Dài hạn,Phải trả các bên liên quan (TM số 33) > - Dài hạn,- Dài hạn,25.975.330,628.933.111,25975330.0,628933111.0
