row_label_raw,row_label_full,Bên cho vay,Số cuối nămNgàn VND,Thời hạn thanh toán,Lãi suất%/năm,Mục đích vay,Tài sản đảm bảo,numeric__Số cuối nămNgàn VND,numeric__Thời hạn thanh toán,numeric__Lãi suất%/năm,numeric__Mục đích vay,numeric__Tài sản đảm bảo
Công ty Cổ phần Ô tô Trường Hải,Công ty Cổ phần Ô tô Trường Hải,Công ty Cổ phần Ô tô Trường Hải,Công ty Cổ phần Ô tô Trường Hải,Công ty Cổ phần Ô tô Trường Hải,Công ty Cổ phần Ô tô Trường Hải,Công ty Cổ phần Ô tô Trường Hải,Công ty Cổ phần Ô tô Trường Hải,,,,,
Khoản vay ngày 11 tháng 12 năm 2019,Công ty Cổ phần Ô tô Trường Hải > Khoản vay ngày 11 tháng 12 năm 2019,Khoản vay ngày 11 tháng 12 năm 2019,453.563.957,Ngày 11 tháng 12 năm 2020,"9,50",Bổ sung vốn lưu động,Tín chấp,453563957.0,,9.5,,
Khoản vay ngày 6 tháng 6 năm 2019,Công ty Cổ phần Ô tô Trường Hải > Khoản vay ngày 6 tháng 6 năm 2019,Khoản vay ngày 6 tháng 6 năm 2019,224.000.000,Ngày 12 tháng 7 năm 2020,"8,00",Đầu tư trồng mới 7.000 ha chuối tại Lào và Campuchia,Tín chấp,224000000.0,,8.0,,
Khoản vay ngày 17 tháng 6 năm 2019,Công ty Cổ phần Ô tô Trường Hải > Khoản vay ngày 17 tháng 6 năm 2019,Khoản vay ngày 17 tháng 6 năm 2019,219.900.668,Ngày 4 tháng 12 năm 2020,"8,00","Dự án Sân bay Nong Khang tại Tĩnh Huaphan, Lào",Tín chấp,219900668.0,,8.0,,
,,,897.464.625,,,,,897464625.0,,,,
Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,,,,,
Khoản vay ngày 1 tháng 10 năm 2018 (*),Công ty Cổ phần Hoàng Anh Gia Lai > Khoản vay ngày 1 tháng 10 năm 2018 (*),Khoản vay ngày 1 tháng 10 năm 2018 (*),781.218.000,Ngày 21 tháng 6 năm 2020,"6,00 - 8,00",Bổ sung vốn lưu động,Tín chấp,781218000.0,,,,
Khoản vay ngày 7 tháng 1 năm 2019 (*),Công ty Cổ phần Hoàng Anh Gia Lai > Khoản vay ngày 7 tháng 1 năm 2019 (*),Khoản vay ngày 7 tháng 1 năm 2019 (*),381.080.000,Ngày 29 tháng 1 năm 2020,"6,50 - 8,00",Bổ sung vốn lưu động,Tín chấp,381080000.0,,,,
Khoản vay ngày 6 tháng 6 năm 2019 (*),Công ty Cổ phần Hoàng Anh Gia Lai > Khoản vay ngày 6 tháng 6 năm 2019 (*),Khoản vay ngày 6 tháng 6 năm 2019 (*),297.000.000,Ngày 7 tháng 6 năm 2020,"8,00",Đầu tư trồng mới 7.000 ha chuối tại Lào và Campuchia,Tín chấp,297000000.0,,8.0,,
Khoản vay ngày 26 tháng 11 năm 2018 (*),Công ty Cổ phần Hoàng Anh Gia Lai > Khoản vay ngày 26 tháng 11 năm 2018 (*),Khoản vay ngày 26 tháng 11 năm 2018 (*),202.250.000,Ngày 5 tháng 12 năm 2019,"6,50 - 8,00",Bổ sung vốn lưu động,Tín chấp,202250000.0,,,,
Khoản vay ngày 18 tháng 2 năm 2019 (*),Công ty Cổ phần Hoàng Anh Gia Lai > Khoản vay ngày 18 tháng 2 năm 2019 (*),Khoản vay ngày 18 tháng 2 năm 2019 (*),180.174.000,Ngày 18 tháng 8 năm 2020,"7,00 - 8,00",Bổ sung vốn lưu động,Tín chấp,180174000.0,,,,
Khoản vay ngày 19 tháng 7 năm 2019,Công ty Cổ phần Hoàng Anh Gia Lai > Khoản vay ngày 19 tháng 7 năm 2019,Khoản vay ngày 19 tháng 7 năm 2019,35.485.456,Ngày 19 tháng 7 năm 2020,"10,00",Bổ sung vốn lưu động,Tín chấp,35485456.0,,10.0,,
Khoản vay ngày 1 tháng 11 năm 2019,Công ty Cổ phần Hoàng Anh Gia Lai > Khoản vay ngày 1 tháng 11 năm 2019,Khoản vay ngày 1 tháng 11 năm 2019,1.300.000,Ngày 30 tháng 4 năm 2020,"11,50",Bổ sung vốn lưu động,Tín chấp,1300000.0,,11.5,,
,,,1.878.507.456,,,,,1878507456.0,,,,
Bà Kiều Ngọc Hoa - Cổ đông,Bà Kiều Ngọc Hoa - Cổ đông,Bà Kiều Ngọc Hoa - Cổ đông,Bà Kiều Ngọc Hoa - Cổ đông,Bà Kiều Ngọc Hoa - Cổ đông,Bà Kiều Ngọc Hoa - Cổ đông,Bà Kiều Ngọc Hoa - Cổ đông,Bà Kiều Ngọc Hoa - Cổ đông,,,,,
Khoản vay ngày 4 tháng 11 năm 2019,Bà Kiều Ngọc Hoa - Cổ đông > Khoản vay ngày 4 tháng 11 năm 2019,Khoản vay ngày 4 tháng 11 năm 2019,50.000.000,Ngày 4 tháng 2 năm 2020,"14,00",Bổ sung vốn lưu động,Tín chấp,50000000.0,,14.0,,
TỔNG CỘNG,Bà Kiều Ngọc Hoa - Cổ đông > TỔNG CỘNG,TỔNG CỘNG,2.825.972.081,,,,,2825972081.0,,,,
