row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Hoàn nhập trích trước chi phí thuế theo,Hoàn nhập trích trước chi phí thuế theo,Hoàn nhập trích trước chi phí thuế theo,Hoàn nhập trích trước chi phí thuế theo,Hoàn nhập trích trước chi phí thuế theo,,
Nghị định 20 (*),Hoàn nhập trích trước chi phí thuế theo > Nghị định 20 (*),Nghị định 20 (*),192.397.024,-,192397024.0,
Xóa số các khoản phải trả,Hoàn nhập trích trước chi phí thuế theo > Xóa số các khoản phải trả,Xóa số các khoản phải trả,20.152.510,-,20152510.0,
Lãi từ thanh lý tài sản,Hoàn nhập trích trước chi phí thuế theo > Lãi từ thanh lý tài sản,Lãi từ thanh lý tài sản,456.492,-,456492.0,
Khác,Hoàn nhập trích trước chi phí thuế theo > Khác,Khác,16.846.248,20.710.867,16846248.0,20710867.0
,,,229.852.274,20.710.867,229852274.0,20710867.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Chi phí phát triển vườn cây,Chi phí khác > Chi phí phát triển vườn cây,Chi phí phát triển vườn cây,(1.340.360.552),(541.841.519),-1340360552.0,-541841519.0
Khấu hao tài sản ngưng sử dụng,Chi phí khác > Khấu hao tài sản ngưng sử dụng,Khấu hao tài sản ngưng sử dụng,(54.983.799),(79.563.818),-54983799.0,-79563818.0
Các khoản phạt,Chi phí khác > Các khoản phạt,Các khoản phạt,(10.144.168),(29.728.088),-10144168.0,-29728088.0
Lỗ từ thanh lý tài sản,Chi phí khác > Lỗ từ thanh lý tài sản,Lỗ từ thanh lý tài sản,-,(26.972.709),,-26972709.0
Khác,Chi phí khác > Khác,Khác,(232.210.383),(83.990.460),-232210383.0,-83990460.0
,,,(1.637.698.902),(762.096.594),-1637698902.0,-762096594.0
Lỗ KHÁC,Chi phí khác > Lỗ KHÁC,Lỗ KHÁC,(1.407.846.628),(741.385.727),-1407846628.0,-741385727.0
