row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,numeric__Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,numeric__Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,numeric__Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,numeric__Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018
Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,2.913.105.285,487.301.078,287.939.014,3.688.345.377,2913105285.0,487301078.0,287939014.0,3688345377.0
Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,328.077.063,607.531.429,637.999.662,1.573.608.154,328077063.0,607531429.0,637999662.0,1573608154.0
Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,
Tài sản bộ phận,Các thông tin bộ phận khác > Tài sản bộ phận,Tài sản bộ phận,5.025.138.438,12.201.406.693,10.446.497.385,27.673.042.516,5025138438.0,12201406693.0,10446497385.0,27673042516.0
Tiền,Các thông tin bộ phận khác > Tiền,Tiền,,,,72.447.272,,,,72447272.0
Đầu tư vào công ty liên kết,Các thông tin bộ phận khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,299.447.924,,,,299447924.0
Tài sản không phân bổ,Các thông tin bộ phận khác > Tài sản không phân bổ,Tài sản không phân bổ,,,,2.486.616.571,,,,2486616571.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,30.531.554.283,,,,30531554283.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,,,,
Doanh thu từ khách hàng bên ngoài,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,1.704.177.416,32.136.212,74.461.402,1.810.775.030,1704177416.0,32136212.0,74461402.0,1810775030.0
Chi phí hình thành tài sản cố định,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,238.684.377,798.668.201,520.575.681,1.557.928.259,238684377.0,798668201.0,520575681.0,1557928259.0
Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,
Tài sản bộ phận,Các thông tin bộ phận khác > Tài sản bộ phận,Tài sản bộ phận,1.698.383.046,12.297.563.683,7.945.096.677,21.941.043.406,1698383046.0,12297563683.0,7945096677.0,21941043406.0
Tiền,Các thông tin bộ phận khác > Tiền,Tiền,,,,111.485.200,,,,111485200.0
Đầu tư vào công ty liên kết,Các thông tin bộ phận khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,315.487.353,,,,315487353.0
Tài sản không phân bổ,Các thông tin bộ phận khác > Tài sản không phân bổ,Tài sản không phân bổ,,,,912.473.137,,,,912473137.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,23.280.489.096,,,,23280489096.0
