row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND > Số đầu năm
Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),,,,
Daun Penh,Phải thu ngắn hạn khác (TM số 9) > Daun Penh,Daun Penh,Công ty con của công ty có cùng thành viên HĐQT,Cho mượn vật tư,33.038.555,-,,,33038555.0,
HAG,Phải thu ngắn hạn khác (TM số 9) > HAG,HAG,Công ty mẹ,Chi hộ Cho mượn tạm,11.941.830,3.917.872,,,11941830.0,3917872.0
HAG,Phải thu ngắn hạn khác (TM số 9) > HAG,HAG,Công ty mẹ,Chi hộ Cho mượn tạm,-,680.800,,,,680800.0
Bình Phước Kratie,Phải thu ngắn hạn khác (TM số 9) > Bình Phước Kratie,Bình Phước Kratie,Công ty con của công ty có cùng thành viên HĐQT,Chi hộ,6.577.232,-,,,6577232.0,
Đại Thắng,Phải thu ngắn hạn khác (TM số 9) > Đại Thắng,Đại Thắng,Công ty trong cùng Tập đoàn,Chi hộ,4.601.784,-,,,4601784.0,
Khác,Phải thu ngắn hạn khác (TM số 9) > Khác,Khác,Bên liên quan,Khác,250.000,4.888.316,,,250000.0,4888316.0
,,,,,56.409.401,9.486.988,,,56409401.0,9486988.0
Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),,,,
Daun Penh,Phải thu dài hạn khác (TM số 9) > Daun Penh,Daun Penh,Công ty con của công ty có cùng thành viên HĐQT,Cho mượn,6.780.054,-,,,6780054.0,
Bình Phước Kratie,Phải thu dài hạn khác (TM số 9) > Bình Phước Kratie,Bình Phước Kratie,Công ty con của công ty có cùng thành viên HĐQT,Cho mượn,495.203,-,,,495203.0,
,,,,,7.275.257,-,,,7275257.0,
