row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí hoạt động,Ngắn hạn > Chi phí hoạt động,Chi phí hoạt động,790.869.405,745.217.478,790869405.0,745217478.0
Chi phí lãi vay,Ngắn hạn > Chi phí lãi vay,Chi phí lãi vay,649.247.074,577.022.877,649247074.0,577022877.0
Chi phí khác,Ngắn hạn > Chi phí khác,Chi phí khác,55.756.572,225.796.615,55756572.0,225796615.0
,,,1.495.873.051,1.548.036.970,1495873051.0,1548036970.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí lãi vay,Dài hạn > Chi phí lãi vay,Chi phí lãi vay,728.263.269,759.275.084,728263269.0,759275084.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,2.224.136.320,2.307.312.054,2224136320.0,2307312054.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên thứ ba,Trong đó: > Phải trả các bên thứ ba,Phải trả các bên thứ ba,2.031.817.627,2.114.464.712,2031817627.0,2114464712.0
Phải trả các bên liên quan (TM số 33),Phải trả các bên liên quan (TM số 33),Phải trả các bên liên quan (TM số 33),Phải trả các bên liên quan (TM số 33),Phải trả các bên liên quan (TM số 33),,
- Ngắn hạn,Phải trả các bên liên quan (TM số 33) > - Ngắn hạn,- Ngắn hạn,33.322.762,83.882.304,33322762.0,83882304.0
- Dài hạn,Phải trả các bên liên quan (TM số 33) > - Dài hạn,- Dài hạn,158.995.931,108.965.038,158995931.0,108965038.0
