row_label_raw,row_label_full,col_0,Số cuối năm,Ngân VND Số đầu năm,numeric__Số cuối năm,numeric__Ngân VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Công cụ, dụng cụ","Ngắn hạn > Công cụ, dụng cụ","Công cụ, dụng cụ",3.637.990,1.637.637,3637990.0,1637637.0
Chi phí phát triển vườn cây ngắn ngày,Ngắn hạn > Chi phí phát triển vườn cây ngắn ngày,Chi phí phát triển vườn cây ngắn ngày,-,12.548.563,,12548563.0
Chi phí khác,Ngắn hạn > Chi phí khác,Chi phí khác,2.449.738,6.751.410,2449738.0,6751410.0
,,,6.087.728,20.937.610,6087728.0,20937610.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Tiền thuê đất,Dài hạn > Tiền thuê đất,Tiền thuê đất,58.958.582,65.526.788,58958582.0,65526788.0
Chi phí khai hoang,Dài hạn > Chi phí khai hoang,Chi phí khai hoang,46.589.626,52.379.067,46589626.0,52379067.0
"Công cụ, dụng cụ","Dài hạn > Công cụ, dụng cụ","Công cụ, dụng cụ",10.376.864,18.622.267,10376864.0,18622267.0
Chi phí thuê văn phòng,Dài hạn > Chi phí thuê văn phòng,Chi phí thuê văn phòng,5.102.262,5.333.584,5102262.0,5333584.0
Chi phí khác,Dài hạn > Chi phí khác,Chi phí khác,5.661.865,12.494.163,5661865.0,12494163.0
,,,126.689.199,154.355.869,126689199.0,154355869.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,132.776.927,175.293.479,132776927.0,175293479.0
