row_label_raw,row_label_full,Ngân hàng,Số cuối năm > Ngàn VND,Nguyên tệ > Ngàn VND,Nguyên tệ > USD,Thời hạn thanh toán,Lãi suất %/năm,"Tài sản thế chấp (TM số 10, 11 và 13)",numeric__Số cuối năm > Ngàn VND,numeric__Nguyên tệ > Ngàn VND,numeric__Nguyên tệ > USD,numeric__Thời hạn thanh toán,numeric__Lãi suất %/năm,"numeric__Tài sản thế chấp (TM số 10, 11 và 13)"
"HD Bank, Chi nhánh Đồng Nai","HD Bank, Chi nhánh Đồng Nai","HD Bank, Chi nhánh Đồng Nai","HD Bank, Chi nhánh Đồng Nai","HD Bank, Chi nhánh Đồng Nai","HD Bank, Chi nhánh Đồng Nai","HD Bank, Chi nhánh Đồng Nai","HD Bank, Chi nhánh Đồng Nai","HD Bank, Chi nhánh Đồng Nai",,,,,,
Khoản vay ngày 25 tháng 4 năm 2014 (*),"HD Bank, Chi nhánh Đồng Nai > Khoản vay ngày 25 tháng 4 năm 2014 (*)",Khoản vay ngày 25 tháng 4 năm 2014 (*),887.352.906,450.000.000,18.827.073,Từ ngày 25 tháng 6 năm 2020 đến ngày 25 tháng 12 năm 2023,"VND: 12,57 USD: 8,50","172.070.455 cổ phiếu HNG sở hữu bởi HAG; Quyền sử dụng 7.924 ha đất tại Tĩnh Ratanakiri, Campuchia thuộc sở hữu của Hoàng Anh Lumphat; 20.000.000 cổ phần của HNG, Bà Lê Thị Ngọc Bích và Bà Võ Thị Lệ Thu góp vốn tại An Đông Mia.",887352906.0,450000000.0,18827073.0,,,
"HD Bank, Chi nhánh Đắk Lắk","HD Bank, Chi nhánh Đắk Lắk","HD Bank, Chi nhánh Đắk Lắk","HD Bank, Chi nhánh Đắk Lắk","HD Bank, Chi nhánh Đắk Lắk","HD Bank, Chi nhánh Đắk Lắk","HD Bank, Chi nhánh Đắk Lắk","HD Bank, Chi nhánh Đắk Lắk","HD Bank, Chi nhánh Đắk Lắk",,,,,,
Khoản vay ngày 30 tháng 3 năm 2018,"HD Bank, Chi nhánh Đắk Lắk > Khoản vay ngày 30 tháng 3 năm 2018",Khoản vay ngày 30 tháng 3 năm 2018,65.000.000,65.000.000,,Từ ngày 31 tháng 3 năm 2020 đến ngày 31 tháng 12 năm 2020,"11,50 - 11,80","Toàn bộ cây ăn trái và quyền khai thác hình thành trong tương lai của dự án trồng cây ăn trái, cây gia vị được thực hiện trên thừa đất tại Xã Ea H'leo, Huyện Ea H'leo, Tĩnh Đắk Lắk, Việt Nam thuộc sở hữu của Hoàng Anh Đắk Lắk.",65000000.0,65000000.0,,,,
TỔNG CỘNG,"HD Bank, Chi nhánh Đắk Lắk > TỔNG CỘNG",TỔNG CỘNG,952.352.906,,,,,,952352906.0,,,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,665.514.685,,,,,,665514685.0,,,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,286.838.221,,,,,,286838221.0,,,,,
