row_label_raw,row_label_full,col_0,Số cuối năm,Ngân VND Số đầu năm,numeric__Số cuối năm,numeric__Ngân VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Vay ngắn hạn bên liên quan (TM số 23.3 và 33),Ngắn hạn > Vay ngắn hạn bên liên quan (TM số 23.3 và 33),Vay ngắn hạn bên liên quan (TM số 23.3 và 33),2.825.972.081,1.729.600.000,2825972081.0,1729600000.0
Vay dài hạn ngân hàng đến hạn trả (TM số 23.4),Ngắn hạn > Vay dài hạn ngân hàng đến hạn trả (TM số 23.4),Vay dài hạn ngân hàng đến hạn trả (TM số 23.4),1.209.903.508,762.209.407,1209903508.0,762209407.0
Vay ngắn hạn ngân hàng (TM số 23.2),Ngắn hạn > Vay ngắn hạn ngân hàng (TM số 23.2),Vay ngắn hạn ngân hàng (TM số 23.2),618.695.510,683.258.274,618695510.0,683258274.0
Vay ngắn hạn trái phiếu (TM số 23.1),Ngắn hạn > Vay ngắn hạn trái phiếu (TM số 23.1),Vay ngắn hạn trái phiếu (TM số 23.1),-,2.153.212.703,,2153212703.0
Vay dài hạn trái phiếu đến hạn trả,Ngắn hạn > Vay dài hạn trái phiếu đến hạn trả,Vay dài hạn trái phiếu đến hạn trả,-,484.897.155,,484897155.0
Vay ngắn hạn từ công ty và cá nhân,Ngắn hạn > Vay ngắn hạn từ công ty và cá nhân,Vay ngắn hạn từ công ty và cá nhân,-,60.729.000,,60729000.0
Vay dài hạn từ cá nhân đến hạn trả,Ngắn hạn > Vay dài hạn từ cá nhân đến hạn trả,Vay dài hạn từ cá nhân đến hạn trả,-,5.000.000,,5000000.0
,,,4.654.571.099,5.878.906.539,4654571099.0,5878906539.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Vay dài hạn ngân hàng (TM số 23.4),Dài hạn > Vay dài hạn ngân hàng (TM số 23.4),Vay dài hạn ngân hàng (TM số 23.4),3.095.659.565,4.318.640.316,3095659565.0,4318640316.0
Vay dài hạn bên liên quan (TM số 23.5 và 33),Dài hạn > Vay dài hạn bên liên quan (TM số 23.5 và 33),Vay dài hạn bên liên quan (TM số 23.5 và 33),1.454.367.231,3.679.224.832,1454367231.0,3679224832.0
Vay dài hạn trái phiếu,Dài hạn > Vay dài hạn trái phiếu,Vay dài hạn trái phiếu,-,1.553.227.582,,1553227582.0
,,,4.550.026.796,9.551.092.730,4550026796.0,9551092730.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,9.204.597.895,15.429.999.269,9204597895.0,15429999269.0
