row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí vận chuyển,Chi phí bán hàng > Chi phí vận chuyển,Chi phí vận chuyển,242.763.685,109.693.562,242763685.0,109693562.0
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,39.448.664,22.632.265,39448664.0,22632265.0
Chi phí nhân viên,Chi phí bán hàng > Chi phí nhân viên,Chi phí nhân viên,14.617.287,10.211.387,14617287.0,10211387.0
Chi phí khấu hao,Chi phí bán hàng > Chi phí khấu hao,Chi phí khấu hao,2.412.294,2.188.094,2412294.0,2188094.0
Khác,Chi phí bán hàng > Khác,Khác,4.004.081,4.653.129,4004081.0,4653129.0
,,,303.246.011,149.378.437,303246011.0,149378437.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Phân bổ lợi thế thương mại (TM số 17),Chi phí quản lý doanh nghiệp > Phân bổ lợi thế thương mại (TM số 17),Phân bổ lợi thế thương mại (TM số 17),285.726.128,408.570.987,285726128.0,408570987.0
Chi phí nhân viên,Chi phí quản lý doanh nghiệp > Chi phí nhân viên,Chi phí nhân viên,90.366.973,56.185.369,90366973.0,56185369.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,49.313.604,28.800.846,49313604.0,28800846.0
Dự phòng phải thu khó đòi,Chi phí quản lý doanh nghiệp > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,15.532.723,11.647.070,15532723.0,11647070.0
Chi phí khấu hao và hao mòn,Chi phí quản lý doanh nghiệp > Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,13.713.037,14.120.863,13713037.0,14120863.0
Khác,Chi phí quản lý doanh nghiệp > Khác,Khác,12.275.865,165.651.493,12275865.0,165651493.0
,,,466.928.330,684.976.628,466928330.0,684976628.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,770.174.341,834.355.065,770174341.0,834355065.0
