row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Lỗ kế toán trước thuế,Lỗ kế toán trước thuế,Lỗ kế toán trước thuế,(2.375.087.563),(625.763.066),-2375087563.0,-625763066.0
Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,,
Các khoản chi phí không được trừ,Điều chỉnh cho các khoản: > Các khoản chi phí không được trừ,Các khoản chi phí không được trừ,1.634.636.353,9.857.984,1634636353.0,9857984.0
Các khoản lỗ của các công ty con,Điều chỉnh cho các khoản: > Các khoản lỗ của các công ty con,Các khoản lỗ của các công ty con,1.295.381.210,842.321.736,1295381210.0,842321736.0
Chi phí phân bổ lợi thế thương mại,Điều chỉnh cho các khoản: > Chi phí phân bổ lợi thế thương mại,Chi phí phân bổ lợi thế thương mại,285.726.128,408.570.987,285726128.0,408570987.0
Chênh lệch lãi vay nội bộ ở khía cạnh hợp nhất,Điều chỉnh cho các khoản: > Chênh lệch lãi vay nội bộ ở khía cạnh hợp nhất,Chênh lệch lãi vay nội bộ ở khía cạnh hợp nhất,129.099.274,76.088.699,129099274.0,76088699.0
Chênh lệch tỷ giá hối đoái,Điều chỉnh cho các khoản: > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,35.408.481,(97.302.362),35408481.0,-97302362.0
Thay đổi lợi nhuận nội bộ chưa thực hiện,Điều chỉnh cho các khoản: > Thay đổi lợi nhuận nội bộ chưa thực hiện,Thay đổi lợi nhuận nội bộ chưa thực hiện,11.021.368,(20.241.725),11021368.0,-20241725.0
Chênh lệch giữa lãi suất thực tế và lãi suất danh nghĩa liên quan đến phát hành trái phiếu chuyển đổi ở khía cạnh hợp nhất,Điều chỉnh cho các khoản: > Chênh lệch giữa lãi suất thực tế và lãi suất danh nghĩa liên quan đến phát hành trái phiếu chuyển đổi ở khía cạnh hợp nhất,Chênh lệch giữa lãi suất thực tế và lãi suất danh nghĩa liên quan đến phát hành trái phiếu chuyển đổi ở khía cạnh hợp nhất,7.679.836,-,7679836.0,
Dự phòng các khoản đầu tư vào công ty con,Điều chỉnh cho các khoản: > Dự phòng các khoản đầu tư vào công ty con,Dự phòng các khoản đầu tư vào công ty con,(336.847.230),(214.456.985),-336847230.0,-214456985.0
Lợi nhuận từ hoạt động được miễn thuế,Điều chỉnh cho các khoản: > Lợi nhuận từ hoạt động được miễn thuế,Lợi nhuận từ hoạt động được miễn thuế,(254.707.311),(397.108.217),-254707311.0,-397108217.0
Lãi tử thanh lý các khoản đầu tư loại trừ ở khía cạnh hợp nhất,Điều chỉnh cho các khoản: > Lãi tử thanh lý các khoản đầu tư loại trừ ở khía cạnh hợp nhất,Lãi tử thanh lý các khoản đầu tư loại trừ ở khía cạnh hợp nhất,(245.936.649),(73.082.312),-245936649.0,-73082312.0
Thay đổi chi phí phải trả,Điều chỉnh cho các khoản: > Thay đổi chi phí phải trả,Thay đổi chi phí phải trả,(192.397.024),50.505.561,-192397024.0,50505561.0
(Lãi)/lỗ từ công ty liên kết,Điều chỉnh cho các khoản: > (Lãi)/lỗ từ công ty liên kết,(Lãi)/lỗ từ công ty liên kết,(26.497.251),11.458.148,-26497251.0,11458148.0
Các khoản khác,Điều chỉnh cho các khoản: > Các khoản khác,Các khoản khác,35.703.497,31.648.807,35703497.0,31648807.0
Thu nhập chịu thuế uрок tính trong năm,Điều chỉnh cho các khoản: > Thu nhập chịu thuế uрок tính trong năm,Thu nhập chịu thuế uрок tính trong năm,3.183.119,2.497.255,3183119.0,2497255.0
Thuế TNDN hiện hành uрок tính,Điều chỉnh cho các khoản: > Thuế TNDN hiện hành uрок tính,Thuế TNDN hiện hành uрок tính,636.624,499.451,636624.0,499451.0
Điều chỉnh thuế TNDN trích thiếu/(thừa)của năm trước,Điều chỉnh cho các khoản: > Điều chỉnh thuế TNDN trích thiếu/(thừa)của năm trước,Điều chỉnh thuế TNDN trích thiếu/(thừa)của năm trước,158.992,(4.647.050),158992.0,-4647050.0
Chi phí/(thu nhập) thuế TNDN hiện hành uрок tính trong năm,Điều chỉnh cho các khoản: > Chi phí/(thu nhập) thuế TNDN hiện hành uрок tính trong năm,Chi phí/(thu nhập) thuế TNDN hiện hành uрок tính trong năm,795.616,(4.147.599),795616.0,-4147599.0
Thuế TNDN phải nộp đầu năm,Điều chỉnh cho các khoản: > Thuế TNDN phải nộp đầu năm,Thuế TNDN phải nộp đầu năm,30.049.556,38.237.764,30049556.0,38237764.0
Thuế TNDN đã trả trong năm,Điều chỉnh cho các khoản: > Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,(11.069.339),(3.881.946),-11069339.0,-3881946.0
Chênh lệch tỷ giá,Điều chỉnh cho các khoản: > Chênh lệch tỷ giá,Chênh lệch tỷ giá,(314.811),(158.662),-314811.0,-158662.0
Thuế TNDN phải nộp cuối năm,Điều chỉnh cho các khoản: > Thuế TNDN phải nộp cuối năm,Thuế TNDN phải nộp cuối năm,19.461.022,30.049.557,19461022.0,30049557.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Thuế TNDN phải trả,Trong đó: > Thuế TNDN phải trả,Thuế TNDN phải trả,19.746.853,30.335.388,19746853.0,30335388.0
Thuế TNDN trả trước,Trong đó: > Thuế TNDN trả trước,Thuế TNDN trả trước,(285.831),(285.831),-285831.0,-285831.0
