row_label_raw,row_label_full,Ngân hàng,Số cuối năm > Ngàn VND,Nguyên tệ > Ngàn LAK,Nguyên tệ > USD,Thời hạn thanh toán,Lãi suất%/năm,"Tài sản thế chấp(TM số 10, 11 và 13)",numeric__Số cuối năm > Ngàn VND,numeric__Nguyên tệ > Ngàn LAK,numeric__Nguyên tệ > USD,numeric__Thời hạn thanh toán,numeric__Lãi suất%/năm,"numeric__Tài sản thế chấp(TM số 10, 11 và 13)"
"Laos - Viet Bank, Chi nhánh Attapeu","Laos - Viet Bank, Chi nhánh Attapeu","Laos - Viet Bank, Chi nhánh Attapeu","Laos - Viet Bank, Chi nhánh Attapeu","Laos - Viet Bank, Chi nhánh Attapeu","Laos - Viet Bank, Chi nhánh Attapeu","Laos - Viet Bank, Chi nhánh Attapeu","Laos - Viet Bank, Chi nhánh Attapeu","Laos - Viet Bank, Chi nhánh Attapeu",,,,,,
Khoản vay ngày 5 tháng 8 năm 2015 và ngày 26 tháng 11 năm 2015 (*),"Laos - Viet Bank, Chi nhánh Attapeu > Khoản vay ngày 5 tháng 8 năm 2015 và ngày 26 tháng 11 năm 2015 (*)",Khoản vay ngày 5 tháng 8 năm 2015 và ngày 26 tháng 11 năm 2015 (*),310.331.827,-,13.593.570,Ngày 15 tháng 2 năm 2020 đến ngày 25 tháng 8 năm 2022,"10,00","Trụ sở làm việc của Hoàng Anh Attapeu tại Km 31, Bản Hatxan, Huyện Xaysettha, Tĩnh Attapeu, Lào theo bản đồ đất số 17 001 0008 với diện tích đất 0,3 ha; Nhà máy chế biến mũ cao su tại Huyện Xaysettha, Tĩnh Attapeu, Lào và toàn bộ đàn bò (14.219 con) nhập về thuộc sở hữu của Hoàng Anh Attapeu.",310331827.0,,13593570.0,,10.0,
Khoản vay ngày 15 tháng 3 năm 2013 (**),"Laos - Viet Bank, Chi nhánh Attapeu > Khoản vay ngày 15 tháng 3 năm 2013 (**)",Khoản vay ngày 15 tháng 3 năm 2013 (**),272.699.137,38.155.000,7.649.850,Ngày 25 tháng 3 năm 2020 đến ngày 25 tháng 12 năm 2026,"LAK: 12,75 USD: 10,00","Quyền sử dụng và khai thác 4.733,01 ha cao su và 3.155,79 ha cọ đầu tại tỉnh Attapeu, Lào thuộc sở hữu của Hoàng Anh Attapeu.",272699137.0,38155000.0,7649850.0,,,
