row_label_raw,row_label_full,Số đầu năm(Lỗ)/lợi nhuận trong năm,Năm nay > 29.309.682(18.483.122),Ngàn VNDNăm trước > 50.886.3433.035.231,numeric__Năm nay > 29.309.682(18.483.122),numeric__Ngàn VNDNăm trước > 50.886.3433.035.231
Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát,Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát,Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát,(790.635),(24.116.892),-790635.0,-24116892.0
Cổ tức phải trả cho cổ đông không kiểm soát,Cổ tức phải trả cho cổ đông không kiểm soát,Cổ tức phải trả cho cổ đông không kiểm soát,-,(495.000),,-495000.0
Thanh lý công ty con,Thanh lý công ty con,Thanh lý công ty con,(501.389),-,-501389.0,
Số cuối năm,Số cuối năm,Số cuối năm,9.534.536,29.309.682,9534536.0,29309682.0
