row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Ngàn VND > Năm nay,Ngàn VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Ngàn VND > Năm nay,numeric__Ngàn VND > Năm trước
Thadi,Thadi,Thadi,Công ty có cùng thành viên HĐQT,Thanh lý các công ty con Bán hàng hóa Mua vật tư và dịch vụ,6.996.075.859895.648.536166.081.413,- - -,,,6.996075859895648e+27,
THACO,THACO,THACO,Công ty có cùng thành viên HĐQT,Vay và mượn Chỉ phí lãi vay,2.588.289.45994.567.711,746.132.0006.259.160,,,2.588289459945677e+17,7461320006259160.0
HAG,HAG,HAG,Công ty mẹ,Vay và mượn Chỉ phí lãi vay Bán hàng hóa và dịch vụ Mua vật tư,1.243.488.420313.654.15247.356.21841.547.567,1.566.296.280366.866.92610.194.902101.513.023,,,1.2434884203136542e+34,1.5662962803668669e+35
Bà Kiều Ngọc Hoa,Bà Kiều Ngọc Hoa,Bà Kiều Ngọc Hoa,Cổ đông,Vay,130.000.000,-,,,130000000.0,
Ông Nguyễn Anh Hòa,Ông Nguyễn Anh Hòa,Ông Nguyễn Anh Hòa,Cổ đông,Vay,100.000.000,-,,,100000000.0,
Daun Penh,Daun Penh,Daun Penh,Công ty con của công ty có cùng thành viên HĐQT,Mua hàng hóa Bán vật tư,93.716.04120.813.957,-,,,9371604120813956.0,
Bình Phước Kratie,Bình Phước Kratie,Bình Phước Kratie,Công ty con của công ty có cùng thành viên HĐQT,Mua hàng hóa Bán vật tư,76.567.77018.874.266,- -,,,7656777018874266.0,
Cao Su Eastern,Cao Su Eastern,Cao Su Eastern,Công ty con của công ty có cùng thành viên HĐQT,Mua hàng hóa Bán vật tư,32.568.45418.363.685,- -,,,3256845418363685.0,
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,Mua vật tư,61.529.361,-,,,61529361.0,
"Công ty TNHH MTV Tổ Hợp Cơ Khí Thaco Chu Lai (""Thaco Chu Lai"")","Công ty TNHH MTV Tổ Hợp Cơ Khí Thaco Chu Lai (""Thaco Chu Lai"")","Công ty TNHH MTV Tổ Hợp Cơ Khí Thaco Chu Lai (""Thaco Chu Lai"")",Công ty con của công ty có cùng thành viên HĐQT,Mua hàng hóa và dịch vụ Mua tài sản cố định,34.871.6172.466.176,- -,,,348716172466176.0,
"Công ty TNHH MTV Vận tải Đường bộ Chu Lai - Trường Hải (""Vận tải Thaco Chu Lai"")","Công ty TNHH MTV Vận tải Đường bộ Chu Lai - Trường Hải (""Vận tải Thaco Chu Lai"")","Công ty TNHH MTV Vận tải Đường bộ Chu Lai - Trường Hải (""Vận tải Thaco Chu Lai"")",Công ty con của công ty có cùng thành viên HĐQT,Mua dịch vụ,24.683.368,-,,,24683368.0,
"Công ty TNHH MTV Sản Xuất Máy Nông Nghiệp Thaco (""Máy Nông nghiệp Thaco"")","Công ty TNHH MTV Sản Xuất Máy Nông Nghiệp Thaco (""Máy Nông nghiệp Thaco"")","Công ty TNHH MTV Sản Xuất Máy Nông Nghiệp Thaco (""Máy Nông nghiệp Thaco"")",Công ty con của công ty có cùng thành viên HĐQT,Mua máy móc,21.002.527,-,,,21002527.0,
