row_label_raw,row_label_full,col_0,Già tri,Dư phòng,Già tri_1,Dư phòng_1,numeric__Già tri,numeric__Dư phòng,numeric__Già tri_1,numeric__Dư phòng_1
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,448.116.153.285,(528.000.000),264.597.353.371,,448116153285.0,-528000000.0,264597353371.0,
Tạm ứng,Tạm ứng,Tạm ứng,217.442.844.052,,119.066.753.735,,217442844052.0,,119066753735.0,
Phải thu người lao động,Phải thu người lao động,Phải thu người lao động,2.785.979.634,,2.796.797.047,,2785979634.0,,2796797047.0,
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",1.568.000.000,,1.568.000.000,,1568000000.0,,1568000000.0,
Các khoản chỉ hộ,Các khoản chỉ hộ,Các khoản chỉ hộ,,,,,,,,
Phải thu khác,Các khoản chỉ hộ > Phải thu khác,Phải thu khác,226.319.329.599,(528.000.000),156.825.897.087,,226319329599.0,-528000000.0,156825897087.0,
b) Dài hạn,Các khoản chỉ hộ > b) Dài hạn,b) Dài hạn,13.098.124.133,,6.147.890.629,,13098124133.0,,6147890629.0,
Tạm ứng,Tạm ứng,Tạm ứng,,,,,,,,
"Ký cược, ký quỹ","Tạm ứng > Ký cược, ký quỹ","Ký cược, ký quỹ",10.963.997.133,,1.407.763.629,,10963997133.0,,1407763629.0,
Phải thu khác,Tạm ứng > Phải thu khác,Phải thu khác,2.134.127.000,,4.740.127.000,,2134127000.0,,4740127000.0,
Cộng,Tạm ứng > Cộng,Cộng,461.214.277.418,(528.000.000),270.745.244.000,,461214277418.0,-528000000.0,270745244000.0,
