row_label_raw,row_label_full,b) Vay dài hạn > Trên 1 năm đến 5 năm,31/12/2018 > Giá trị > 837.856.368.073,31/12/2018 > Số có khả năng trả nợ > 837.856.368.073,Trong năm > Tăng > 792.708.959.644,Trong năm > Giảm > 565.901.836.158,Đơn vị tính: VND01/01/2018 > Giá trị > 611.049.244.587,Đơn vị tính: VND01/01/2018 > Số có khả năng trả nợ > 611.049.244.587,numeric__31/12/2018 > Giá trị > 837.856.368.073,numeric__31/12/2018 > Số có khả năng trả nợ > 837.856.368.073,numeric__Trong năm > Tăng > 792.708.959.644,numeric__Trong năm > Giảm > 565.901.836.158,numeric__Đơn vị tính: VND01/01/2018 > Giá trị > 611.049.244.587,numeric__Đơn vị tính: VND01/01/2018 > Số có khả năng trả nợ > 611.049.244.587
- VND,- VND,- VND,837.856.368.073,837.856.368.073,792.708.959.644,565.901.836.158,611.049.244.587,611.049.244.587,837856368073.0,837856368073.0,792708959644.0,565901836158.0,611049244587.0,611049244587.0
- USD,- USD,- USD,,,,1.765.130.000,1.765.130.000,1.765.130.000,,,,1765130000.0,1765130000.0,1765130000.0
Trên 5 năm,Trên 5 năm,Trên 5 năm,,,,,,,,,,,,
Cộng,Trên 5 năm > Cộng,Cộng,837.856.368.073,837.856.368.073,792.708.959.644,567.666.966.158,612.814.374.587,612.814.374.587,837856368073.0,837856368073.0,792708959644.0,567666966158.0,612814374587.0,612814374587.0
c) Các khoản nợ thuê tài chính đã thanh toán,c) Các khoản nợ thuê tài chính đã thanh toán,c) Các khoản nợ thuê tài chính đã thanh toán,c) Các khoản nợ thuê tài chính đã thanh toán,c) Các khoản nợ thuê tài chính đã thanh toán,c) Các khoản nợ thuê tài chính đã thanh toán,c) Các khoản nợ thuê tài chính đã thanh toán,c) Các khoản nợ thuê tài chính đã thanh toán,c) Các khoản nợ thuê tài chính đã thanh toán,,,,,,
,,,Năm 2018,Năm 2018,Năm 2018,Năm 2017,Năm 2017,Năm 2017,,,,,,
Thời hạn,Thời hạn,Thời hạn,Tổng khoản thanh toán tiền thuê tài chính,Trà tiền lãi thuê,Trà nợ gốc,Tổng khoản thanh toán tiền thuê tài chính,Trà tiền lãi thuê,Trà nợ gốc,,,,,,
Từ 1 năm trở xuống,Thời hạn > Từ 1 năm trở xuống,Từ 1 năm trở xuống,56.800.695.902,849.840.212,55.950.855.690,13.184.179.607,7.845.257.257,5.338.922.350,56800695902.0,849840212.0,55950855690.0,13184179607.0,7845257257.0,5338922350.0
Trên 1 năm đến 5 năm,Thời hạn > Trên 1 năm đến 5 năm,Trên 1 năm đến 5 năm,56.889.766.549,16.325.302.205,40.564.464.344,,,,56889766549.0,16325302205.0,40564464344.0,,,
Trên 5 năm,Trên 5 năm,Trên 5 năm,,,,,,,,,,,,
Cộng,Trên 5 năm > Cộng,Cộng,113.690.462.451,17.175.142.417,96.515.320.034,13.184.179.607,7.845.257.257,5.338.922.350,113690462451.0,17175142417.0,96515320034.0,13184179607.0,7845257257.0,5338922350.0
d) Giá trị nợ thuê tài chính,d) Giá trị nợ thuê tài chính,d) Giá trị nợ thuê tài chính,,,31/12/2018,31/12/2018,01/01/2018,01/01/2018,,,,,,
,,,,,Giá đánh giá lại,Giá gốc,Giá đánh giá lại,Giá gốc,,,,,,
Ngắn hạn,d) Giá trị nợ thuê tài chính > Ngắn hạn,Ngắn hạn,,,44.164.001.702,44.164.001.702,46.121.645.695,46.121.645.695,,,44164001702.0,44164001702.0,46121645695.0,46121645695.0
Gốc nợ thuê tài chính,d) Giá trị nợ thuê tài chính > Gốc nợ thuê tài chính,Gốc nợ thuê tài chính,,,44.164.001.702,44.164.001.702,46.121.645.695,46.121.645.695,,,44164001702.0,44164001702.0,46121645695.0,46121645695.0
Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,,,,,,,,,,,,
Dài hạn,Lãi thuê tài chính phải trả > Dài hạn,Dài hạn,,,131.992.989.585,131.992.989.585,,,,,131992989585.0,131992989585.0,,
Gốc nợ thuê tài chính,Gốc nợ thuê tài chính,Gốc nợ thuê tài chính,,,,,,,,,,,,
Lãi thuê tài chính phải trả,Gốc nợ thuê tài chính > Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,,,131.992.989.585,131.992.989.585,,,,,131992989585.0,131992989585.0,,
Cộng,Gốc nợ thuê tài chính > Cộng,Cộng,,,176.156.991.287,176.156.991.287,46.121.645.695,46.121.645.695,,,176156991287.0,176156991287.0,46121645695.0,46121645695.0
