row_label_raw,row_label_full,b) Xây dựng cơ bản dở dangMua sắm,31/12/2018,01/01/2018,numeric__31/12/2018,numeric__01/01/2018
Xây dựng cơ bán,Xây dựng cơ bán,Xây dựng cơ bán,838.061.894.958,98.399.177.688,838061894958.0,98399177688.0
- Đường GTGT BK3,- Đường GTGT BK3,- Đường GTGT BK3,1.147.923.083,1.147.923.083,1147923083.0,1147923083.0
- Khu dân cư Hoà Bình,- Khu dân cư Hoà Bình,- Khu dân cư Hoà Bình,1.653.591.160,1.653.591.160,1653591160.0,1653591160.0
- Khu văn phòng và nhà ở cao tầng - HCM,- Khu văn phòng và nhà ở cao tầng - HCM,- Khu văn phòng và nhà ở cao tầng - HCM,47.380.200.000,47.380.200.000,47380200000.0,47380200000.0
- Công trình Cốn Bình Thạnh - Huyện Cao Lãnh,- Công trình Cốn Bình Thạnh - Huyện Cao Lãnh,- Công trình Cốn Bình Thạnh - Huyện Cao Lãnh,,462.649.706,,462649706.0
- Khu Đó Thị Mỹ Thơ,- Khu Đó Thị Mỹ Thơ,- Khu Đó Thị Mỹ Thơ,882.034.099,882.034.099,882034099.0,882034099.0
- Khu Dân cư Cà Mau,- Khu Dân cư Cà Mau,- Khu Dân cư Cà Mau,171.318.500,32.961.414.186,171318500.0,32961414186.0
- Cải tạo Trung tám văn hóa du lịch,- Cải tạo Trung tám văn hóa du lịch,- Cải tạo Trung tám văn hóa du lịch,,7.115.820.000,,7115820000.0
- Nhà máy thực ăn chăn nuôi - Super feed Đồng Tháp,- Nhà máy thực ăn chăn nuôi - Super feed Đồng Tháp,- Nhà máy thực ăn chăn nuôi - Super feed Đồng Tháp,685.580.000.000,,685580000000.0,
- Nhà máy điện năng hương mặt trời - Tịnh Biên,- Nhà máy điện năng hương mặt trời - Tịnh Biên,- Nhà máy điện năng hương mặt trời - Tịnh Biên,67.387.648.500,,67387648500.0,
- Công trình khác,- Công trình khác,- Công trình khác,33.859.179.616,6.795.545.454,33859179616.0,6795545454.0
Cộng,Cộng,Cộng,838.061.894.958,98.399.177.688,838061894958.0,98399177688.0
