row_label_raw,row_label_full,col_0,Giá trị số sách > 31/12/2018 > Giá trị,Giá trị số sách > 31/12/2018 > Dự phòng,Giá trị số sách > 01/01/2018 > Giá trị,Giá trị số sách > 01/01/2018 > Dự phòng,Giá trị hợp lý > 31/12/2018,Giá trị hợp lý > 01/01/2018,numeric__Giá trị số sách > 31/12/2018 > Giá trị,numeric__Giá trị số sách > 31/12/2018 > Dự phòng,numeric__Giá trị số sách > 01/01/2018 > Giá trị,numeric__Giá trị số sách > 01/01/2018 > Dự phòng,numeric__Giá trị hợp lý > 31/12/2018,numeric__Giá trị hợp lý > 01/01/2018
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,502.270.779.111,,253.200.049.001,,502.270.779.111,253.200.049.001,502270779111.0,,253200049001.0,,502270779111.0,253200049001.0
Phải thu khách hàng,Tài sản tài chính > Phải thu khách hàng,Phải thu khách hàng,1.222.578.432.329,(56.922.290.746),437.327.817.669,,1.165.656.141.583,437.327.817.669,1222578432329.0,-56922290746.0,437327817669.0,,1165656141583.0,437327817669.0
Trả trước cho người bán,Tài sản tài chính > Trả trước cho người bán,Trả trước cho người bán,1.511.965.039.516,,1.165.173.019.716,,1.511.965.039.516,1.165.173.019.716,1511965039516.0,,1165173019716.0,,1511965039516.0,1165173019716.0
Các khoản phải thu khác,Tài sản tài chính > Các khoản phải thu khác,Các khoản phải thu khác,461.214.277.418,(528.000.000),270.745.244.000,,460.686.277.418,270.745.244.000,461214277418.0,-528000000.0,270745244000.0,,460686277418.0,270745244000.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,963.626.736.414,,249.039.724.107,,963.626.736.414,249.039.724.107,963626736414.0,,249039724107.0,,963626736414.0,249039724107.0
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,1.290.488.000.000,(1.920.339.667),902.229.601.752,(1.495.242.779),1.288.567.660.333,900.734.358.973,1290488000000.0,-1920339667.0,902229601752.0,-1495242779.0,1288567660333.0,900734358973.0
Cộng,Tài sản tài chính > Cộng,Cộng,5.952.143.264.788,(59.370.630.413),3.277.715.456.245,(1.495.242.779),5.892.772.634.375,3.276.220.213.466,5952143264788.0,-59370630413.0,3277715456245.0,-1495242779.0,5892772634375.0,3276220213466.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,
Phải trả cho người bán,Nợ phải trả tài chính > Phải trả cho người bán,Phải trả cho người bán,680.417.639.464,,312.759.512.458,,680.417.639.464,312.759.512.458,680417639464.0,,312759512458.0,,680417639464.0,312759512458.0
Người mua trả tiền trước,Nợ phải trả tài chính > Người mua trả tiền trước,Người mua trả tiền trước,716.616.730.344,,906.667.257.582,,716.616.730.344,906.667.257.582,716616730344.0,,906667257582.0,,716616730344.0,906667257582.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,4.503.220.702.510,,1.329.248.863.582,,4.503.220.702.510,1.329.248.863.582,4503220702510.0,,1329248863582.0,,4503220702510.0,1329248863582.0
Phải trả người lao động,Nợ phải trả tài chính > Phải trả người lao động,Phải trả người lao động,46.720.924.229,,1.162.116.600,,46.720.924.229,1.162.116.600,46720924229.0,,1162116600.0,,46720924229.0,1162116600.0
Trải phiếu chuyển đổi,Trải phiếu chuyển đổi,Trải phiếu chuyển đổi,,,,,,,,,,,,
Các khoản phải trả khác,Trải phiếu chuyển đổi > Các khoản phải trả khác,Các khoản phải trả khác,104.824.275.256,,69.517.282.149,,104.824.275.256,69.517.282.149,104824275256.0,,69517282149.0,,104824275256.0,69517282149.0
Cộng,Trải phiếu chuyển đổi > Cộng,Cộng,6.051.800.271.803,,2.619.355.032.371,,6.051.800.271.803,2.619.355.032.371,6051800271803.0,,2619355032371.0,,6051800271803.0,2619355032371.0
