row_label_raw,row_label_full,a) Ngắn hạn
Tài sản thừa chờ giải quyết,Tài sản thừa chờ giải quyết,Tài sản thừa chờ giải quyết
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn
Bảo hiểm xã hội,Bảo hiểm xã hội,Bảo hiểm xã hội
Bảo hiểm y tế,Bảo hiểm y tế,Bảo hiểm y tế
Bảo hiểm thất nghiệp,Bảo hiểm thất nghiệp,Bảo hiểm thất nghiệp
"Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn"
"Cố tức, lợi nhuận phải trả","Cố tức, lợi nhuận phải trả","Cố tức, lợi nhuận phải trả"
"Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác"
Công ty TNHỊ MTV Kiểm Định và Đầu Tư Toàn Cầu,Công ty TNHỊ MTV Kiểm Định và Đầu Tư Toàn Cầu,Công ty TNHỊ MTV Kiểm Định và Đầu Tư Toàn Cầu
Trần Thuy Thạnh Thảo,Trần Thuy Thạnh Thảo,Trần Thuy Thạnh Thảo
Võ Đức Thảo,Võ Đức Thảo,Võ Đức Thảo
"Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác"
b) Dài hạn,b) Dài hạn,b) Dài hạn
"Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn"
"Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác"
