row_label_raw,row_label_full,col_0,Giá gốc,Giá trị ghi số,col_3,Giá gốc_1,Giá trị ghi số_1,col_6,numeric__Giá gốc,numeric__Giá trị ghi số,numeric__col_3,numeric__Giá gốc_1,numeric__Giá trị ghi số_1,numeric__col_6
b1) Ngân hạn,b1) Ngân hạn,b1) Ngân hạn,963.626.736.414,963.626.736.414,,249.039.724.107,249.039.724.107,,963626736414.0,963626736414.0,,249039724107.0,249039724107.0,
- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,963.626.736.414,963.626.736.414,,249.039.724.107,249.039.724.107,,963626736414.0,963626736414.0,,249039724107.0,249039724107.0,
b2) Dải hạn,b2) Dải hạn,b2) Dải hạn,1.288.488.000.000,1.288.488.000.000,,5.110.000.000,5.110.000.000,,1288488000000.0,1288488000000.0,,5110000000.0,5110000000.0,
- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,1.288.488.000.000,1.288.488.000.000,,5.110.000.000,5.110.000.000,,1288488000000.0,1288488000000.0,,5110000000.0,5110000000.0,
Cộng,Cộng,Cộng,2.252.114.736.414,2.252.114.736.414,,254.149.724.107,254.149.724.107,,2252114736414.0,2252114736414.0,,254149724107.0,254149724107.0,
"c) Đầu tư vào công ty liên doanh, liên kết","c) Đầu tư vào công ty liên doanh, liên kết","c) Đầu tư vào công ty liên doanh, liên kết",31/12/2018,31/12/2018,31/12/2018,01/01/2018,01/01/2018,01/01/2018,,,,,,
"c) Đầu tư vào công ty liên doanh, liên kết","c) Đầu tư vào công ty liên doanh, liên kết","c) Đầu tư vào công ty liên doanh, liên kết",Giá trị đầu tư theo phương pháp vốn chủ sở hữu,Giá hợp lý,Dư phòng,Giá trị đầu tư theo phương pháp vốn chủ sở hữu,Giá hợp lý,Dư phòng,,,,,,
"Đầu tư vào công ty liên doanh, liên kết","c) Đầu tư vào công ty liên doanh, liên kết > Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",,,,871.459.601.752,791.944.795.800,,,,,871459601752.0,791944795800.0,
+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,"c) Đầu tư vào công ty liên doanh, liên kết > + Công ty CP Đầu tư và phát triển Đa Quốc Gia",+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,,,,871.459.601.752,791.944.795.800,,,,,871459601752.0,791944795800.0,
d) Đầu tư vào đơn vị khác,d) Đầu tư vào đơn vị khác,d) Đầu tư vào đơn vị khác,31/12/2018,31/12/2018,31/12/2018,01/01/2018,01/01/2018,01/01/2018,,,,,,
d) Đầu tư vào đơn vị khác,d) Đầu tư vào đơn vị khác,d) Đầu tư vào đơn vị khác,Giá gốc,Giá hợp lý,Dư phòng,Giá gốc,Giá hợp lý,Dư phòng,,,,,,
d) Đầu tư vào đơn vị khác,d) Đầu tư vào đơn vị khác > d) Đầu tư vào đơn vị khác,d) Đầu tư vào đơn vị khác,2.000.000.000,,(1.920.339.667),25.660.000.000,43.310.000.000,(1.495.242.779),2000000000.0,,-1920339667.0,25660000000.0,43310000000.0,-1495242779.0
+ Công ty CP Tư vấn và Đầu tư Tài chính (**),d) Đầu tư vào đơn vị khác > + Công ty CP Tư vấn và Đầu tư Tài chính (**),+ Công ty CP Tư vấn và Đầu tư Tài chính (**),,,,8.660.000.000,8.660.000.000,(26.236.624),,,,8660000000.0,8660000000.0,-26236624.0
+ Công ty CP Đầu tư Du lịch và Phát triển,+ Công ty CP Đầu tư Du lịch và Phát triển,+ Công ty CP Đầu tư Du lịch và Phát triển,,,,,,,,,,,,
Thủy sản (**),+ Công ty CP Đầu tư Du lịch và Phát triển > Thủy sản (**),Thủy sản (**),,,,15.000.000.000,34.650.000.000,,,,,15000000000.0,34650000000.0,
+ Công ty CP Bóng Đá Đồng Tháp (*),+ Công ty CP Đầu tư Du lịch và Phát triển > + Công ty CP Bóng Đá Đồng Tháp (*),+ Công ty CP Bóng Đá Đồng Tháp (*),2.000.000.000,,(1.920.339.667),2.000.000.000,,(1.469.006.155),2000000000.0,,-1920339667.0,2000000000.0,,-1469006155.0
Cộng,+ Công ty CP Đầu tư Du lịch và Phát triển > Cộng,Cộng,2.000.000.000,,(1.920.339.667),897.119.601.752,835.254.795.800,(1.495.242.779),2000000000.0,,-1920339667.0,897119601752.0,835254795800.0,-1495242779.0
