row_label_raw,row_label_full,18. 5. Các quỹ của Công ty,31/12/2018,01/01/2018,numeric__31/12/2018,numeric__01/01/2018
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,80.293.662.948,66.356.713.008,80293662948.0,66356713008.0
Quỹ hỗ trợ sắp xếp doanh nghiệp,Quỹ hỗ trợ sắp xếp doanh nghiệp,Quỹ hỗ trợ sắp xếp doanh nghiệp,519.476.815,,519476815.0,
Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,4.971.647.795,4.971.647.795,4971647795.0,4971647795.0
