row_label_raw,row_label_full,HÀNG TỔN KHO,31/12/2018,31/12/2018_1,01/01/2018,01/01/2018_1,numeric__31/12/2018,numeric__31/12/2018_1,numeric__01/01/2018,numeric__01/01/2018_1
HÀNG TỔN KHO,HÀNG TỔN KHO,HÀNG TỔN KHO,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
- Hàng dang di đường,- Hàng dang di đường,- Hàng dang di đường,,,,,,,,
"- Nguyên liệu, vật liệu","- Hàng dang di đường > - Nguyên liệu, vật liệu","- Nguyên liệu, vật liệu",111.662.719.805,,73.642.398.521,,111662719805.0,,73642398521.0,
"- Công cụ, dụng cụ","- Hàng dang di đường > - Công cụ, dụng cụ","- Công cụ, dụng cụ",3.071.383.416,,332.046.519,,3071383416.0,,332046519.0,
- Chỉ phí sản xuất kinh doanhđở dang,- Hàng dang di đường > - Chỉ phí sản xuất kinh doanhđở dang,- Chỉ phí sản xuất kinh doanhđở dang,311.864.345.807,,326.367.793.608,,311864345807.0,,326367793608.0,
- Thành phẩm,- Hàng dang di đường > - Thành phẩm,- Thành phẩm,571.705.092.553,(15.769.201.426),6.195.445.136,,571705092553.0,-15769201426.0,6195445136.0,
- Hàng hóa,- Hàng dang di đường > - Hàng hóa,- Hàng hóa,1.031.965.120.970,,915.917.862.511,,1031965120970.0,,915917862511.0,
- Hàng gửi di bán,- Hàng dang di đường > - Hàng gửi di bán,- Hàng gửi di bán,25.163.142.869,,44.354.309,,25163142869.0,,44354309.0,
- Hàng hóa bất động sản,- Hàng dang di đường > - Hàng hóa bất động sản,- Hàng hóa bất động sản,270.972.161.605,,,,270972161605.0,,,
Cộng,- Hàng dang di đường > Cộng,Cộng,2.326.403.967.025,(15.769.201.426),1.322.499.900.604,,2326403967025.0,-15769201426.0,1322499900604.0,
