row_label_raw,row_label_full,col_0,31/12/2018 > Giá trị,31/12/2018 > Lãi suất,31/12/2018 > Kỳ hạn,01/01/2018 > Giá trị,01/01/2018 > Lãi suất,01/01/2018 > Kỳ hạn,numeric__31/12/2018 > Giá trị,numeric__31/12/2018 > Lãi suất,numeric__31/12/2018 > Kỳ hạn,numeric__01/01/2018 > Giá trị,numeric__01/01/2018 > Lãi suất,numeric__01/01/2018 > Kỳ hạn
+ Ngân hạn,+ Ngân hạn,+ Ngân hạn,,,,,,,,,,,,
+ Dải hạn,+ Ngân hạn > + Dải hạn,+ Dải hạn,150.000.000.000,,,148.621.030.316,,,150000000000.0,,,148621030316.0,,
Loại phát hành theo mệnh giá,+ Ngân hạn > Loại phát hành theo mệnh giá,Loại phát hành theo mệnh giá,150.000.000.000,"10,4%/năm",36 tháng,148.621.030.316,"10,4%/năm",36 tháng,150000000000.0,,,148621030316.0,,
Cộng,+ Ngân hạn > Cộng,Cộng,150.000.000.000,,,148.621.030.316,,,150000000000.0,,,148621030316.0,,
14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,31/12/2018,31/12/2018,01/01/2018,01/01/2018,,,,,,
14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,Giá trị,Số có khả năng trả nợ,Giá trị,Số có khả năng trả nợ,,,,,,
a) Ngân hạn,14 . PHẢI TRẢ NGƯỜI BÁN > a) Ngân hạn,a) Ngân hạn,,,680.417.639.464,680.417.639.464,312.694.001.658,312.694.001.658,,,680417639464.0,680417639464.0,312694001658.0,312694001658.0
+ Công ty CP Seatecco,14 . PHẢI TRẢ NGƯỜI BÁN > + Công ty CP Seatecco,+ Công ty CP Seatecco,,,,,20.856.647.315,20.856.647.315,,,,,20856647315.0,20856647315.0
+ Công ty TNHH MTV Toàn Cầu,14 . PHẢI TRẢ NGƯỜI BÁN > + Công ty TNHH MTV Toàn Cầu,+ Công ty TNHH MTV Toàn Cầu,,,73.265.162.860,73.265.162.860,25.555.652.066,25.555.652.066,,,73265162860.0,73265162860.0,25555652066.0,25555652066.0
+ Công ty CP Xuất Khẩu Thủy Hải Sản Sạch,+ Công ty CP Xuất Khẩu Thủy Hải Sản Sạch,+ Công ty CP Xuất Khẩu Thủy Hải Sản Sạch,,,,,,,,,,,,
+ Công ty TNHH JIANGSU MUYANG HOLDINGS,+ Công ty CP Xuất Khẩu Thủy Hải Sản Sạch > + Công ty TNHH JIANGSU MUYANG HOLDINGS,+ Công ty TNHH JIANGSU MUYANG HOLDINGS,,,38.941.210.000,38.941.210.000,57.617.923.000,57.617.923.000,,,38941210000.0,38941210000.0,57617923000.0,57617923000.0
+ Đối tượng khác,+ Công ty CP Xuất Khẩu Thủy Hải Sản Sạch > + Đối tượng khác,+ Đối tượng khác,,,568.211.266.604,568.211.266.604,208.663.779.277,208.663.779.277,,,568211266604.0,568211266604.0,208663779277.0,208663779277.0
b) Dải hạn,+ Công ty CP Xuất Khẩu Thủy Hải Sản Sạch > b) Dải hạn,b) Dải hạn,,,,,65.510.800,65.510.800,,,,,65510800.0,65510800.0
+ Phải trả cho các đối tượng khác,+ Công ty CP Xuất Khẩu Thủy Hải Sản Sạch > + Phải trả cho các đối tượng khác,+ Phải trả cho các đối tượng khác,,,,,65.510.800,65.510.800,,,,,65510800.0,65510800.0
Cộng,+ Công ty CP Xuất Khẩu Thủy Hải Sản Sạch > Cộng,Cộng,Cộng,Cộng,680.417.639.464,680.417.639.464,312.759.512.458,312.759.512.458,,,680417639464.0,680417639464.0,312759512458.0,312759512458.0
