row_label_raw,row_label_full,Tên công ty,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Vốn đầu tư (VND),numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Vốn đầu tư (VND)
+ Công ty TNHH Dùng Thịnh Phát,+ Công ty TNHH Dùng Thịnh Phát,+ Công ty TNHH Dùng Thịnh Phát,"66,00%","66,00%",33.000.000.000,0.66,0.66,33000000000.0
+ Công ty CP Du Lịch Đồng Tháp,+ Công ty CP Du Lịch Đồng Tháp,+ Công ty CP Du Lịch Đồng Tháp,"81,30%","81,30%",45.391.109.800,0.813,0.813,45391109800.0
+ Công ty CP Nhựt Hồng,+ Công ty CP Nhựt Hồng,+ Công ty CP Nhựt Hồng,"60,00%","60,00%",167.991.740.000,0.6,0.6,167991740000.0
+ Công ty CP ĐT Tài Chính & Truyền Thông Quốc Tế,+ Công ty CP ĐT Tài Chính & Truyền Thông Quốc Tế,+ Công ty CP ĐT Tài Chính & Truyền Thông Quốc Tế,"63,94%","63,94%",11.510.000.000,0.6394,0.6394,11510000000.0
+ Công ty TNHH TM Sao Mai Solar,+ Công ty TNHH TM Sao Mai Solar,+ Công ty TNHH TM Sao Mai Solar,"100,00%","100,00%",6.138.450.000,1.0,1.0,6138450000.0
+ Công ty TNHH Sao Mai Super Feed,+ Công ty TNHH Sao Mai Super Feed,+ Công ty TNHH Sao Mai Super Feed,"100,00%","100,00%",100.000.000.000,1.0,1.0,100000000000.0
+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia,+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia,+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia,"51,23%","51,23%",997.398.163.912,0.5123,0.5123,997398163912.0
+ Công ty CP Du Lịch An Giang,+ Công ty CP Du Lịch An Giang,+ Công ty CP Du Lịch An Giang,"72,71%","72,71%",161.209.410.000,0.7271,0.7271,161209410000.0
+ Công ty CP Đầu tư Du lịch và Phát triển Thủy sản,+ Công ty CP Đầu tư Du lịch và Phát triển Thủy sản,+ Công ty CP Đầu tư Du lịch và Phát triển Thủy sản,"43,95%","82,67%",15.000.000.000,0.4395,0.8267,15000000000.0
+ Công ty CP Tư vấn và Đầu tư Tài chính,+ Công ty CP Tư vấn và Đầu tư Tài chính,+ Công ty CP Tư vấn và Đầu tư Tài chính,"53,83%","91,95%",8.660.000.000,0.5383,0.9195,8660000000.0
