row_label_raw,row_label_full,"TANG, GIAM TAI SAN CO ĐỊNH HUU HINH","TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_1","TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_2","TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_3","TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_4","TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_5","TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_6","numeric__TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_1","numeric__TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_2","numeric__TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_3","numeric__TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_4","numeric__TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_5","numeric__TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_6"
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn",Thiết bị quản lý,TSCĐ khác,Cộng,,,,,,
I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,,,,,,
1. Số dư đầu năm,I. Nguyên giá > 1. Số dư đầu năm,1. Số dư đầu năm,171.648.244.136,57.831.456.022,37.703.205.293,3.367.378.235,4.225.796.955,274.776.080.641,171648244136.0,57831456022.0,37703205293.0,3367378235.0,4225796955.0,274776080641.0
2. Số tăng trong kỳ,I. Nguyên giá > 2. Số tăng trong kỳ,2. Số tăng trong kỳ,390.348.566.930,497.776.595.767,23.359.372.002,4.646.433.014,48.550.867.367,964.681.835.080,390348566930.0,497776595767.0,23359372002.0,4646433014.0,48550867367.0,964681835080.0
- Mua trong kỳ,I. Nguyên giá > - Mua trong kỳ,- Mua trong kỳ,1.432.500.000,1.709.922.846,6.261.509.091,3.043.695.256,,12.447.627.193,1432500000.0,1709922846.0,6261509091.0,3043695256.0,,12447627193.0
- Đầu tư XDCB hoàn thành,I. Nguyên giá > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,7.832.115.219,,,,329.670.908,8.161.786.127,7832115219.0,,,,329670908.0,8161786127.0
- Tăng khác,I. Nguyên giá > - Tăng khác,- Tăng khác,381.083.951.711,496.066.672.921,17.097.862.911,1.602.737.758,48.221.196.459,944.072.421.760,381083951711.0,496066672921.0,17097862911.0,1602737758.0,48221196459.0,944072421760.0
3. Số giảm trong kỳ,I. Nguyên giá > 3. Số giảm trong kỳ,3. Số giảm trong kỳ,50.925.760.055,46.596.790.962,9.973.929.398,598.827.680,1.651.808.917,109.747.117.012,50925760055.0,46596790962.0,9973929398.0,598827680.0,1651808917.0,109747117012.0
- Chuyển sang BDS đầu tư,- Chuyển sang BDS đầu tư,- Chuyển sang BDS đầu tư,,,,,,,,,,,,
"- Thanh lý, nhượng bán","- Chuyển sang BDS đầu tư > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",50.925.760.055,46.596.790.962,9.973.929.398,598.827.680,51.272.727,108.146.580.822,50925760055.0,46596790962.0,9973929398.0,598827680.0,51272727.0,108146580822.0
- Giảm khác,- Chuyển sang BDS đầu tư > - Giảm khác,- Giảm khác,,,,,1.600.536.190,1.600.536.190,,,,,1600536190.0,1600536190.0
4. Số dư cuối kỳ,- Chuyển sang BDS đầu tư > 4. Số dư cuối kỳ,4. Số dư cuối kỳ,511.071.051.011,509.011.260.827,51.088.647.897,7.414.983.569,51.124.855.405,1.129.710.798.709,511071051011.0,509011260827.0,51088647897.0,7414983569.0,51124855405.0,1129710798709.0
II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,,,,,,
1. Số dư đầu năm,II. Giá trị hao mòn luỹ kế > 1. Số dư đầu năm,1. Số dư đầu năm,54.455.250.391,32.159.791.241,16.327.399.568,1.662.015.062,854.588.647,105.459.044.909,54455250391.0,32159791241.0,16327399568.0,1662015062.0,854588647.0,105459044909.0
2. Khẩu hao trong kỳ,II. Giá trị hao mòn luỹ kế > 2. Khẩu hao trong kỳ,2. Khẩu hao trong kỳ,60.171.069.006,205.001.797.035,15.368.744.345,1.951.560.501,6.494.846.136,288.988.017.023,60171069006.0,205001797035.0,15368744345.0,1951560501.0,6494846136.0,288988017023.0
- Khẩu hao trong kỳ,II. Giá trị hao mòn luỹ kế > - Khẩu hao trong kỳ,- Khẩu hao trong kỳ,4.505.363.812,731.492.548,4.140.937.028,665.105.444,160.632.646,10.203.531.478,4505363812.0,731492548.0,4140937028.0,665105444.0,160632646.0,10203531478.0
- Tăng khác,II. Giá trị hao mòn luỹ kế > - Tăng khác,- Tăng khác,55.665.705.194,204.270.304.487,11.227.807.317,1.286.455.057,6.334.213.490,278.784.485.545,55665705194.0,204270304487.0,11227807317.0,1286455057.0,6334213490.0,278784485545.0
3. Giảm trong kỳ,II. Giá trị hao mòn luỹ kế > 3. Giảm trong kỳ,3. Giảm trong kỳ,18.544.148.091,24.427.825.528,5.517.883.706,313.583.014,51.272.727,48.854.713.066,18544148091.0,24427825528.0,5517883706.0,313583014.0,51272727.0,48854713066.0
- Chuyển sang BDS đầu tư,- Chuyển sang BDS đầu tư,- Chuyển sang BDS đầu tư,,,,,,,,,,,,
"- Thanh lý, nhượng bán","- Chuyển sang BDS đầu tư > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",18.544.148.091,24.427.825.528,5.163.108.897,313.583.014,51.272.727,48.499.938.257,18544148091.0,24427825528.0,5163108897.0,313583014.0,51272727.0,48499938257.0
- Giảm khác,- Chuyển sang BDS đầu tư > - Giảm khác,- Giảm khác,,,354.774.809,,,354.774.809,,,354774809.0,,,354774809.0
4. Số dư cuối kỳ,- Chuyển sang BDS đầu tư > 4. Số dư cuối kỳ,4. Số dư cuối kỳ,96.082.171.306,212.733.762.748,26.178.260.207,3.299.992.549,7.298.162.056,345.592.348.866,96082171306.0,212733762748.0,26178260207.0,3299992549.0,7298162056.0,345592348866.0
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,,,,
1. Tại ngày đầu năm,III. Giá trị còn lại > 1. Tại ngày đầu năm,1. Tại ngày đầu năm,117.192.993.745,25.671.664.781,21.375.805.725,1.705.363.173,3.371.208.308,169.317.035.732,117192993745.0,25671664781.0,21375805725.0,1705363173.0,3371208308.0,169317035732.0
2. Tại ngày cuối kỳ,III. Giá trị còn lại > 2. Tại ngày cuối kỳ,2. Tại ngày cuối kỳ,414.988.879.705,296.277.498.079,24.910.387.690,4.114.991.020,43.826.693.349,784.118.449.843,414988879705.0,296277498079.0,24910387690.0,4114991020.0,43826693349.0,784118449843.0
