row_label_raw,row_label_full,"Giá trị còn lại TSCĐ và chi phí thanh lý, nhượng bán TSCĐ",Năm 2018 > 8.934.163.889,Năm 2017 > 406.778.835,numeric__Năm 2018 > 8.934.163.889,numeric__Năm 2017 > 406.778.835
Các khoản bị phạt,Các khoản bị phạt,Các khoản bị phạt,2.487.123.064,50.984.192,2487123064.0,50984192.0
Các khoản khác,Các khoản khác,Các khoản khác,587.125.683,2.275.263.492,587125683.0,2275263492.0
Cộng,Cộng,Cộng,12.008.412.636,2.733.026.519,12008412636.0,2733026519.0
