row_label_raw,row_label_full,col_0,Tổng dư nợ cho vay khách hàng và tiền gửi tại các TCTD khác,"Tổng tiền gửi của khách hàng và tiền gửi, tiền vay của các TCTD khác",Các cam kết tín dụng,Đơn vị: Triệu đồngKinh doanh và đầu tư chứng khoán (Chênh lệch DN-DC),numeric__Tổng dư nợ cho vay khách hàng và tiền gửi tại các TCTD khác,"numeric__Tổng tiền gửi của khách hàng và tiền gửi, tiền vay của các TCTD khác",numeric__Các cam kết tín dụng,numeric__Đơn vị: Triệu đồngKinh doanh và đầu tư chứng khoán (Chênh lệch DN-DC)
Trong nước,Trong nước,Trong nước,48.260.963,63.706.632,3.708.833,27.146.517,48260963.0,63706632.0,3708833.0,27146517.0
Nước ngoài,Nước ngoài,Nước ngoài,277.845,2.296.998,-,-,277845.0,2296998.0,,
