row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy móc thiết bịTriệu đồng,Phương tiện vận tải và thiết bị truyền dẫnTriệu đồng,"Thiết bị, dụng cụ quản lýTriệu đồng",TSCĐ hữu hình khácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy móc thiết bịTriệu đồng,numeric__Phương tiện vận tải và thiết bị truyền dẫnTriệu đồng,"numeric__Thiết bị, dụng cụ quản lýTriệu đồng",numeric__TSCĐ hữu hình khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ: > Số dư đầu năm,Số dư đầu năm,95.219,342.977,69.256,22.508,62.779,592.739,95219.0,342977.0,69256.0,22508.0,62779.0,592739.0
Mua trong năm,Nguyên giá TSCĐ: > Mua trong năm,Mua trong năm,4.284,41.058,-,1.599,20.536,67.477,4284.0,41058.0,,1599.0,20536.0,67477.0
Tăng khác,Nguyên giá TSCĐ: > Tăng khác,Tăng khác,-,-,-,898,-,898,,,,898.0,,898.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(16.254),-,-,(16.254),,,-16254.0,,,-16254.0
Giảm khác,Nguyên giá TSCĐ: > Giảm khác,Giảm khác,(1.002),(31),-,(932),(110),(2.075),-1002.0,-31.0,,-932.0,-110.0,-2075.0
Số dư cuối năm,Nguyên giá TSCĐ: > Số dư cuối năm,Số dư cuối năm,98.501,384.004,53.002,24.073,83.205,642.785,98501.0,384004.0,53002.0,24073.0,83205.0,642785.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,13.678,207.493,56.200,13.542,28.463,319.376,13678.0,207493.0,56200.0,13542.0,28463.0,319376.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,9.806,36.671,5.242,4.533,11.900,68.152,9806.0,36671.0,5242.0,4533.0,11900.0,68152.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(15.933),-,-,(15.933),,,-15933.0,,,-15933.0
Giảm khác,Giá trị hao mòn lũy kế: > Giảm khác,Giảm khác,(624),(62),-,(90),(41),(817),-624.0,-62.0,,-90.0,-41.0,-817.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,22.860,244.102,45.509,17.985,40.322,370.778,22860.0,244102.0,45509.0,17985.0,40322.0,370778.0
Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,,,,,,
Tại ngày đầu năm,Giá trị còn lại của TSCĐ: > Tại ngày đầu năm,Tại ngày đầu năm,81.541,135.484,13.056,8.966,34.316,273.363,81541.0,135484.0,13056.0,8966.0,34316.0,273363.0
Tại ngày cuối năm,Giá trị còn lại của TSCĐ: > Tại ngày cuối năm,Tại ngày cuối năm,75.641,139.902,7.493,6.088,42.883,272.007,75641.0,139902.0,7493.0,6088.0,42883.0,272007.0
