row_label_raw,row_label_full,col_0,31/12/2015Triệu đồng,31/12/2014Triệu đồng,numeric__31/12/2015Triệu đồng,numeric__31/12/2014Triệu đồng
"Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",490.930,587.111,490930.0,587111.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,-,6.364,,6364.0
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,187.776,260.625,187776.0,260625.0
Các khoản phải trả cán bộ nhân viên,Các khoản phải trả cán bộ nhân viên,Các khoản phải trả cán bộ nhân viên,121.201,200.016,121201.0,200016.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",21.456,10.018,21456.0,10018.0
Phải trả nội bộ khác,Phải trả nội bộ khác,Phải trả nội bộ khác,45.119,50.591,45119.0,50591.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,290.346,2.282.400,290346.0,2282400.0
Thuế và các khoản phải nộp nhà nước,Thuế và các khoản phải nộp nhà nước,Thuế và các khoản phải nộp nhà nước,80.342,82.990,80342.0,82990.0
Tiền giữ hộ khách hàng chờ thanh toán,Tiền giữ hộ khách hàng chờ thanh toán,Tiền giữ hộ khách hàng chờ thanh toán,4.711,1.601,4711.0,1601.0
Các khoản phải trả chờ thanh toán,Các khoản phải trả chờ thanh toán,Các khoản phải trả chờ thanh toán,88.227,107.190,88227.0,107190.0
Chuyển tiền phải trả,Chuyển tiền phải trả,Chuyển tiền phải trả,80.288,338.030,80288.0,338030.0
Phải trả hợp đồng mua nợ,Phải trả hợp đồng mua nợ,Phải trả hợp đồng mua nợ,-,1.739.399,,1739399.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,36.778,13.190,36778.0,13190.0
Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,180.084,157.346,180084.0,157346.0
,,,1.149.136,3.293.846,1149136.0,3293846.0
