row_label_raw,row_label_full,"Các khoản phải thu (Thuyết minh 12.1) > Các khoản lãi, phí phải thu (Thuyết minh 12.2) > Tài sản Có khác (Thuyết minh 12.3)",31/12/2015Triệu đồng > 531.084 > 986.102 > 188.734,31/12/2014Triệu đồng > 4.286.125 > 1.011.314 > 199.206,numeric__31/12/2015Triệu đồng > 531.084 > 986.102 > 188.734,numeric__31/12/2014Triệu đồng > 4.286.125 > 1.011.314 > 199.206
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,340,332,340.0,332.0
Dự phòng cho các tài sản có khác (Thuyết minh 12.4),Dự phòng cho các tài sản có khác (Thuyết minh 12.4),Dự phòng cho các tài sản có khác (Thuyết minh 12.4),-,(193.969),,-193969.0
,,,1.706.260,5.303.008,1706260.0,5303008.0
