row_label_raw,row_label_full,col_0,Quá hạn,định lại lãi suất,Đến 1 tháng,Từ 1 - 3 tháng,Từ 3 - 6 tháng,Từ 6 - 12 tháng,Từ 1 - 5 năm,Trên 5 năm,Tổng,numeric__Quá hạn,numeric__định lại lãi suất,numeric__Đến 1 tháng,numeric__Từ 1 - 3 tháng,numeric__Từ 3 - 6 tháng,numeric__Từ 6 - 12 tháng,numeric__Từ 1 - 5 năm,numeric__Trên 5 năm,numeric__Tổng
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tải sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,637.522,-,-,-,-,-,-,637.522,,637522.0,,,,,,,637522.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,1.619.862,-,-,-,-,-,1.619.862,,,1619862.0,,,,,,1619862.0
Tiền gửi tại và cho vay các TCTD khác,Tải sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,3.763.548,3.732.324,-,-,-,-,7.495.872,,,3763548.0,3732324.0,,,,,7495872.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tải sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,9.656,-,-,-,-,-,9.656,,,9656.0,,,,,,9656.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),1.955.960,-,12.611.917,14.570.998,5.582.912,795.976,2.530.784,130.239,38.178.786,1955960.0,,12611917.0,14570998.0,5582912.0,795976.0,2530784.0,130239.0,38178786.0
Chứng khoán đầu tư (*),Tải sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),200.000,-,843.136,503.078,8.883.166,3.992.494,12.658.250,947.023,28.027.147,200000.0,,843136.0,503078.0,8883166.0,3992494.0,12658250.0,947023.0,28027147.0
"Góp vốn, đầu tư dài hạn (*)","Tải sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,224.172,-,-,-,-,-,-,224.172,,224172.0,,,,,,,224172.0
Tài sản cố định và bất động sản đầu tư,Tải sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,362.486,-,-,-,-,37.495,-,399.981,,362486.0,,,,,37495.0,,399981.0
Tài sản Có khác (*),Tải sản > Tài sản Có khác (*),Tài sản Có khác (*),2.210.220,3.220.585,18.491,-,-,47.681,-,-,5.496.977,2210220.0,3220585.0,18491.0,,,47681.0,,,5496977.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,4.366.180,4.444.765,18.866.610,18.806.400,14.466.078,4.836.151,15.226.529,1.077.262,82.089.975,4366180.0,4444765.0,18866610.0,18806400.0,14466078.0,4836151.0,15226529.0,1077262.0,82089975.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,-,-,11.930.206,5.710.010,2.120.863,50,-,-,19.761.129,,,11930206.0,5710010.0,2120863.0,50.0,,,19761129.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,124.057,26.910.292,9.354.670,6.039.559,5.460.318,1.163.011,2,49.051.909,,124057.0,26910292.0,9354670.0,6039559.0,5460318.0,1163011.0,2.0,49051909.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,37.966,15.821,-,-,-,-,53.787,,,37966.0,15821.0,,,,,53787.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,2,-,23,-,-,-,25,,,2.0,,23.0,,,,25.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),-,573.873,50.053,-,-,2.669.920,-,-,3.293.846,,573873.0,50053.0,,,2669920.0,,,3293846.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,697.930,38.928.519,15.080.501,8.160.445,8.130.288,1.163.011,2,72.160.696,,697930.0,38928519.0,15080501.0,8160445.0,8130288.0,1163011.0,2.0,72160696.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,4.366.180,3.746.835,(20.061.909),3.725.899,6.305.633,(3.294.137),14.063.518,1.077.260,9.929.279,4366180.0,3746835.0,-20061909.0,3725899.0,6305633.0,-3294137.0,14063518.0,1077260.0,9929279.0
