row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy móc thiết bịTriệu đồng,Phương tiện vântài và thiết bịtruyền dẫnTriệu đồng,"Thiết bị, dụng cụquản lýTriệu đồng",TSCĐ hữu hìnhkhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy móc thiết bịTriệu đồng,numeric__Phương tiện vântài và thiết bịtruyền dẫnTriệu đồng,"numeric__Thiết bị, dụng cụquản lýTriệu đồng",numeric__TSCĐ hữu hìnhkhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ: > Số dư đầu năm,Số dư đầu năm,98.501,384.004,53.002,24.073,83.205,642.785,98501.0,384004.0,53002.0,24073.0,83205.0,642785.0
Mua trong năm,Nguyên giá TSCĐ: > Mua trong năm,Mua trong năm,4.472,34.877,3.987,4.491,14.139,61.966,4472.0,34877.0,3987.0,4491.0,14139.0,61966.0
Tăng khác,Nguyên giá TSCĐ: > Tăng khác,Tăng khác,-,-,-,26,-,26,,,,26.0,,26.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(341),-,-,(341),,,-341.0,,,-341.0
Số dư cuối năm,Nguyên giá TSCĐ: > Số dư cuối năm,Số dư cuối năm,102.973,418.881,56.648,28.590,97.344,704.436,102973.0,418881.0,56648.0,28590.0,97344.0,704436.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,22.860,244.102,45.509,17.985,40.322,370.778,22860.0,244102.0,45509.0,17985.0,40322.0,370778.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,8.797,37.477,3.784,4.049,13.502,67.609,8797.0,37477.0,3784.0,4049.0,13502.0,67609.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(341),-,-,(341),,,-341.0,,,-341.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,31.657,281.579,48.952,22.034,53.824,438.046,31657.0,281579.0,48952.0,22034.0,53824.0,438046.0
Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,,,,,,
Tại ngày đầu năm,Giá trị còn lại của TSCĐ: > Tại ngày đầu năm,Tại ngày đầu năm,75.641,139.902,7.493,6.088,42.883,272.007,75641.0,139902.0,7493.0,6088.0,42883.0,272007.0
Tại ngày cuối năm,Giá trị còn lại của TSCĐ: > Tại ngày cuối năm,Tại ngày cuối năm,71.316,137.302,7.696,6.556,43.520,266.390,71316.0,137302.0,7696.0,6556.0,43520.0,266390.0
