row_label_raw,row_label_full,col_0,Thuyết minh,31/12/2015Triệu đồng,31/12/2014Triệu đồng,numeric__Thuyết minh,numeric__31/12/2015Triệu đồng,numeric__31/12/2014Triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",4,849.380,637.522,4.0,849380.0,637522.0
Tiền gửi tại Ngân hàng Nhà nước (“NHNN”),TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước (“NHNN”),Tiền gửi tại Ngân hàng Nhà nước (“NHNN”),5,6.891.501,1.619.862,5.0,6891501.0,1619862.0
Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,TÀI SẢN > Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,6,761.777,7.495.872,6.0,761777.0,7495872.0
Tiền gửi tại các TCTD khác,TÀI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,,586.777,3.030.422,,586777.0,3030422.0
Cho vay các TCTD khác,TÀI SẢN > Cho vay các TCTD khác,Cho vay các TCTD khác,,175.000,4.465.450,,175000.0,4465450.0
Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,,-,-,,,
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,,-,-,,,
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Chứng khoán kinh doanh > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,,76.363,9.656,,76363.0,9656.0
Cho vay khách hàng,Chứng khoán kinh doanh > Cho vay khách hàng,Cho vay khách hàng,,47.024.555,37.289.571,,47024555.0,37289571.0
Cho vay khách hàng,Chứng khoán kinh doanh > Cho vay khách hàng,Cho vay khách hàng,7,47.777.031,38.178.786,7.0,47777031.0,38178786.0
Dự phòng rủi ro cho vay khách hàng,Chứng khoán kinh doanh > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,8,(752.476),(889.215),8.0,-752476.0,-889215.0
Chứng khoán đầu tư,Chứng khoán kinh doanh > Chứng khoán đầu tư,Chứng khoán đầu tư,9,26.451.598,27.756.930,9.0,26451598.0,27756930.0
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán kinh doanh > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,,23.388.818,25.678.835,,23388818.0,25678835.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán kinh doanh > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,,3.757.699,2.348.312,,3757699.0,2348312.0
Dự phòng rủi ro chứng khoán đầu tư,Chứng khoán kinh doanh > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,,(694.919),(270.217),,-694919.0,-270217.0
"Góp vốn, đầu tư dài hạn","Chứng khoán kinh doanh > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",10,135.039,148.557,10.0,135039.0,148557.0
Đầu tư dài hạn khác,Chứng khoán kinh doanh > Đầu tư dài hạn khác,Đầu tư dài hạn khác,,210.654,224.172,,210654.0,224172.0
Dự phòng giảm giá đầu tư dài hạn khác,Chứng khoán kinh doanh > Dự phòng giảm giá đầu tư dài hạn khác,Dự phòng giảm giá đầu tư dài hạn khác,,(75.615),(75.615),,-75615.0,-75615.0
Tài sản cố định,Chứng khoán kinh doanh > Tài sản cố định,Tài sản cố định,11,395.754,365.476,11.0,395754.0,365476.0
Tài sản cố định hữu hình,Chứng khoán kinh doanh > Tài sản cố định hữu hình,Tài sản cố định hữu hình,11.1,266.390,272.007,111.0,266390.0,272007.0
Nguyên giá tài sản cố định,Chứng khoán kinh doanh > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,704.436,642.785,,704436.0,642785.0
Khẩu hao tài sản cố định,Chứng khoán kinh doanh > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,,(438.046),(370.778),,-438046.0,-370778.0
Tài sản cố định vô hình,Chứng khoán kinh doanh > Tài sản cố định vô hình,Tài sản cố định vô hình,11.2,129.364,93.469,112.0,129364.0,93469.0
Nguyên giá tài sản cố định,Chứng khoán kinh doanh > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,285.776,230.631,,285776.0,230631.0
Hao mòn tài sản cố định,Chứng khoán kinh doanh > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(156.412),(137.162),,-156412.0,-137162.0
Bất động sản đầu tư,Chứng khoán kinh doanh > Bất động sản đầu tư,Bất động sản đầu tư,,16.605,34.505,,16605.0,34505.0
Nguyên giá bất động sản đầu tư,Chứng khoán kinh doanh > Nguyên giá bất động sản đầu tư,Nguyên giá bất động sản đầu tư,,16.605,34.505,,16605.0,34505.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,-,-,,,
Tài sản Có khác,Giá trị hao mòn lũy kế > Tài sản Có khác,Tài sản Có khác,12,1.706.260,5.303.008,12.0,1706260.0,5303008.0
Các khoản phải thu,Giá trị hao mòn lũy kế > Các khoản phải thu,Các khoản phải thu,12.1,531.084,4.286.125,121.0,531084.0,4286125.0
Các khoản lãi và phí phải thu,Giá trị hao mòn lũy kế > Các khoản lãi và phí phải thu,Các khoản lãi và phí phải thu,12.2,986.102,1.011.314,122.0,986102.0,1011314.0
Tài sản thuế thu nhập hoãn lại,Giá trị hao mòn lũy kế > Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,340,332,,340.0,332.0
Tài sản Có khác,Giá trị hao mòn lũy kế > Tài sản Có khác,Tài sản Có khác,12.3,188.734,199.206,123.0,188734.0,199206.0
Các khoản dự phòng rủi ro cho các tài sản,Các khoản dự phòng rủi ro cho các tài sản,Các khoản dự phòng rủi ro cho các tài sản,,,,,,
Có nội bằng khác,Các khoản dự phòng rủi ro cho các tài sản > Có nội bằng khác,Có nội bằng khác,12.4,-,(193.969),124.0,,-193969.0
TỔNG TÀI SẢN,Các khoản dự phòng rủi ro cho các tài sản > TỔNG TÀI SẢN,TỔNG TÀI SẢN,,84.308.832,80.660.959,,84308832.0,80660959.0
