row_label_raw,row_label_full,col_0,Năm 2015Triệu đồng,Năm 2014Triệu đồng,numeric__Năm 2015Triệu đồng,numeric__Năm 2014Triệu đồng
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,278.915,226.659,278915.0,226659.0
Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,136.679,122.446,136679.0,122446.0
Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,4.098,4.472,4098.0,4472.0
Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,2.658,6.522,2658.0,6522.0
Thu từ dịch vụ đại lý nhận ủy thác,Thu từ dịch vụ đại lý nhận ủy thác,Thu từ dịch vụ đại lý nhận ủy thác,2.974,3.444,2974.0,3444.0
Thu phí khác,Thu phí khác,Thu phí khác,132.506,89.775,132506.0,89775.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(112.812),(81.374),-112812.0,-81374.0
Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,(62.683),(50.404),-62683.0,-50404.0
Dịch vụ ủy thác và đại lý,Dịch vụ ủy thác và đại lý,Dịch vụ ủy thác và đại lý,(1.734),(2.859),-1734.0,-2859.0
Dịch vụ môi giới,Dịch vụ môi giới,Dịch vụ môi giới,(14.493),(3.733),-14493.0,-3733.0
Chi khác,Chi khác,Chi khác,(33.902),(24.378),-33902.0,-24378.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,166.103,145.285,166103.0,145285.0
