row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Tổng cộng
Số dư tại 1/1/2014,Số dư tại 1/1/2014,Số dư tại 1/1/2014,4.250.000,2.552.958,(7),307.408,806.286,99,65.882,7.982.626,4250000.0,2552958.0,-7.0,307408.0,806286.0,99.0,65882.0,7982626.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,522.670,522.670,,,,,,,522670.0,522670.0
Trích lập các quỹ thuộc vốn chủ sở hữu,Trích lập các quỹ thuộc vốn chủ sở hữu,Trích lập các quỹ thuộc vốn chủ sở hữu,-,-,-,7.775,4.093,-,(11.868),-,,,,7775.0,4093.0,,-11868.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,(4.899),(4.899),,,,,,,-4899.0,-4899.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,-,(134),(134),,,,,,,-134.0,-134.0
Số dư tại 31/12/2014,Số dư tại 31/12/2014,Số dư tại 31/12/2014,4.250.000,2.552.958,(7),315.183,810.379,99,571.651,8.500.263,4250000.0,2552958.0,-7.0,315183.0,810379.0,99.0,571651.0,8500263.0
Tăng vốn trong năm (*),Tăng vốn trong năm (*),Tăng vốn trong năm (*),595.000,(595.000),(5),-,-,-,-,(5),595000.0,-595000.0,-5.0,,,,,-5.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,521.066,521.066,,,,,,,521066.0,521066.0
Trích lập các quỹ thuộc vốn chủ sở hữu,Trích lập các quỹ thuộc vốn chủ sở hữu,Trích lập các quỹ thuộc vốn chủ sở hữu,-,-,-,48.259,25.399,-,(73.658),-,,,,48259.0,25399.0,,-73658.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,(15.095),(15.095),,,,,,,-15095.0,-15095.0
Cổ tức phải trả cho cổ đông,Cổ tức phải trả cho cổ đông,Cổ tức phải trả cho cổ đông,-,-,-,-,-,-,(382.499),(382.499),,,,,,,-382499.0,-382499.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,(21.018),-,7.220,877,(12.921),,,,-21018.0,,7220.0,877.0,-12921.0
Số dư tại 31/12/2015,Số dư tại 31/12/2015,Số dư tại 31/12/2015,4.845.000,1.957.958,(12),342.424,835.778,7.319,622.342,8.610.809,4845000.0,1957958.0,-12.0,342424.0,835778.0,7319.0,622342.0,8610809.0
