row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu đồng,Phần mềm máy vi tínhTriệu đồng,TSCĐ vô hình khácTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyền sử dụng đấtTriệu đồng,numeric__Phần mềm máy vi tínhTriệu đồng,numeric__TSCĐ vô hình khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình: > Số dư đầu năm,Số dư đầu năm,21.132,180.477,7.036,208.645,21132.0,180477.0,7036.0,208645.0
Mua trong năm,Nguyên giá TSCĐ vô hình: > Mua trong năm,Mua trong năm,-,28.280,4.750,33.030,,28280.0,4750.0,33030.0
Tăng khác,Nguyên giá TSCĐ vô hình: > Tăng khác,Tăng khác,2.018,1.979,-,3.997,2018.0,1979.0,,3997.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(12.727),-,-,(12.727),-12727.0,,,-12727.0
Giảm khác,Nguyên giá TSCĐ vô hình: > Giảm khác,Giảm khác,-,(2.314),-,(2.314),,-2314.0,,-2314.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình: > Số dư cuối năm,Số dư cuối năm,10.423,208.422,11.786,230.631,10423.0,208422.0,11786.0,230631.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,-,111.319,5.936,117.255,,111319.0,5936.0,117255.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,-,19.833,528,20.361,,19833.0,528.0,20361.0
Giảm khác,Giá trị hao mòn lũy kế: > Giảm khác,Giảm khác,-,(454),-,(454),,-454.0,,-454.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,-,130.698,6.464,137.162,,130698.0,6464.0,137162.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Tại ngày đầu năm,Giá trị còn lại: > Tại ngày đầu năm,Tại ngày đầu năm,21.132,69.158,1.100,91.390,21132.0,69158.0,1100.0,91390.0
Tại ngày cuối năm,Giá trị còn lại: > Tại ngày cuối năm,Tại ngày cuối năm,10.423,77.724,5.322,93.469,10423.0,77724.0,5322.0,93469.0
