row_label_raw,row_label_full,col_0,Quá hạn,định lại lãi suất,Đến 1 tháng,Từ 1 - 3 tháng,Từ 3 - 6 tháng,Từ 6 - 12 tháng,Từ 1 - 5 năm,Trên 5 năm,Tổng,numeric__Quá hạn,numeric__định lại lãi suất,numeric__Đến 1 tháng,numeric__Từ 1 - 3 tháng,numeric__Từ 3 - 6 tháng,numeric__Từ 6 - 12 tháng,numeric__Từ 1 - 5 năm,numeric__Trên 5 năm,numeric__Tổng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,849.380,-,-,-,-,-,-,849.380,,849380.0,,,,,,,849380.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,6.891.501,-,-,-,-,-,6.891.501,,,6891501.0,,,,,,6891501.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,586.777,50.000,75.000,50.000,-,-,761.777,,,586777.0,50000.0,75000.0,50000.0,,,761777.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,76.363,-,-,-,-,-,76.363,,,76363.0,,,,,,76363.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),1.839.700,-,15.819.549,18.772.164,5.987.255,3.040.621,2.211.964,105.778,47.777.031,1839700.0,,15819549.0,18772164.0,5987255.0,3040621.0,2211964.0,105778.0,47777031.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),200.000,3.715.319,1.073.979,2.652.929,4.482.921,2.444.958,12.425.751,150.660,27.146.517,200000.0,3715319.0,1073979.0,2652929.0,4482921.0,2444958.0,12425751.0,150660.0,27146517.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,210.654,-,-,-,-,-,-,210.654,,210654.0,,,,,,,210654.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,412.359,-,-,-,-,-,-,412.359,,412359.0,,,,,,,412359.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),-,1.705.920,-,-,-,-,-,-,1.705.920,,1705920.0,,,,,,,1705920.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.039.700,6.893.632,24.448.169,21.475.093,10.545.176,5.535.579,14.637.715,256.438,85.831.502,2039700.0,6893632.0,24448169.0,21475093.0,10545176.0,5535579.0,14637715.0,256438.0,85831502.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,-,-,10.249.636,8.343.150,2.579.162,49,-,-,21.171.997,,,10249636.0,8343150.0,2579162.0,49.0,,,21171997.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,104.430,29.627.197,11.442.537,5.240.964,6.223.692,665.144,-,53.303.964,,104430.0,29627197.0,11442537.0,5240964.0,6223692.0,665144.0,,53303964.0
"Vốn tải trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tải trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,72.926,-,-,-,-,-,72.926,,,72926.0,,,,,,72926.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),-,1.149.136,-,-,-,-,-,-,1.149.136,,1149136.0,,,,,,,1149136.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,1.253.566,39.949.759,19.785.687,7.820.126,6.223.741,665.144,-,75.698.023,,1253566.0,39949759.0,19785687.0,7820126.0,6223741.0,665144.0,,75698023.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,2.039.700,5.640.066,(15.501.590),1.689.406,2.725.050,(688.162),13.972.571,256.438,10.133.479,2039700.0,5640066.0,-15501590.0,1689406.0,2725050.0,-688162.0,13972571.0,256438.0,10133479.0
Mức chênh nhạy cảm với lãi suất ngoại bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất ngoại bảng,Mức chênh nhạy cảm với lãi suất ngoại bảng,-,-,21.352,27.405,16.349,5.024,-,-,70.130,,,21352.0,27405.0,16349.0,5024.0,,,70130.0
Tổng mức chênh nhạy cảm với lãi suất,Nợ phải trả > Tổng mức chênh nhạy cảm với lãi suất,Tổng mức chênh nhạy cảm với lãi suất,2.039.700,5.640.066,(15.480.238),1.716.811,2.741.399,(683.138),13.972.571,256.438,10.203.609,2039700.0,5640066.0,-15480238.0,1716811.0,2741399.0,-683138.0,13972571.0,256438.0,10203609.0
