row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh,Giá trị ghi sổ > Giữ đến ngày đáo hạn,Giá trị ghi sổ > Đi vay và phải trả,Giá trị ghi sổ > Sẵn sàng để bán,Giá trị ghi sổ > Công nợ và nợ khác hạch toán theo giá trị phân bổ,Đơn vị: Triệu đồng > Tổng cộng giá trị ghi sổ,Đơn vị: Triệu đồng > Giá trị hợp lý,numeric__Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh,numeric__Giá trị ghi sổ > Giữ đến ngày đáo hạn,numeric__Giá trị ghi sổ > Đi vay và phải trả,numeric__Giá trị ghi sổ > Sẵn sàng để bán,numeric__Giá trị ghi sổ > Công nợ và nợ khác hạch toán theo giá trị phân bổ,numeric__Đơn vị: Triệu đồng > Tổng cộng giá trị ghi sổ,numeric__Đơn vị: Triệu đồng > Giá trị hợp lý
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,21.171.997,-,-,21.171.997,(*),,,21171997.0,,,21171997.0,
"Tiền gửi của khách hàng Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Tiền gửi của khách hàng Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Tiền gửi của khách hàng Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,53.303.964,-,-,53.303.964,(*),,,53303964.0,,,53303964.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,72.926,72.926,(*),,,,,72926.0,72926.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,490.930,-,658.206,1.149.136,(*),,,490930.0,,658206.0,1149136.0,
,,,-,-,74.966.891,-,731.132,75.698.023,(*),,,74966891.0,,731132.0,75698023.0,
