row_label_raw,row_label_full,Bên tư vấn phát hành > Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại thương Việt Nam,Số cuối năm(VND) > 225.808.923.027 > 196.392.586.680 > 178.906.849.316,Kỳ hạn trả gốc và lãi > Gốc trái phiếu đáo hạn tháng 4 năm 2024.Lãi được thanh toán 6 tháng một lần kể từ ngày phát hành. > Gốc trái phiếu đáo hạn tháng 7 năm 2022.Lãi được thanh toán 6 tháng một lần kể từ ngày phát hành.,"Lãi suất > 10,3%/năm > 10,5%/năm",Tài sản đảm bảo > (iv) > 13.750.000 cổ phiếu phổ thông của Công ty được nắm giữ bởi bên thứ ba.,numeric__Số cuối năm(VND) > 225.808.923.027 > 196.392.586.680 > 178.906.849.316,numeric__Kỳ hạn trả gốc và lãi > Gốc trái phiếu đáo hạn tháng 4 năm 2024.Lãi được thanh toán 6 tháng một lần kể từ ngày phát hành. > Gốc trái phiếu đáo hạn tháng 7 năm 2022.Lãi được thanh toán 6 tháng một lần kể từ ngày phát hành.,"numeric__Lãi suất > 10,3%/năm > 10,5%/năm",numeric__Tài sản đảm bảo > (iv) > 13.750.000 cổ phiếu phổ thông của Công ty được nắm giữ bởi bên thứ ba.
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,601.108.359.023,,,,601108359023.0,,,
Trong đó:- Trái phiếu dài hạn đến hạn trả- Trái phiếu dài hạn,Trong đó:- Trái phiếu dài hạn đến hạn trả- Trái phiếu dài hạn,Trong đó:- Trái phiếu dài hạn đến hạn trả- Trái phiếu dài hạn,178.906.849.316422.201.509.707,,,,1.789068493164222e+23,,,
(iv) Đảm bảo bởi tài sản mà Công ty đã và sẽ sở hữu phát sinh từ và/hoặc liên quan đến khối để công trình cao tầng thuộc Dự án The Terra An Hưng.,(iv) Đảm bảo bởi tài sản mà Công ty đã và sẽ sở hữu phát sinh từ và/hoặc liên quan đến khối để công trình cao tầng thuộc Dự án The Terra An Hưng.,(iv) Đảm bảo bởi tài sản mà Công ty đã và sẽ sở hữu phát sinh từ và/hoặc liên quan đến khối để công trình cao tầng thuộc Dự án The Terra An Hưng.,(iv) Đảm bảo bởi tài sản mà Công ty đã và sẽ sở hữu phát sinh từ và/hoặc liên quan đến khối để công trình cao tầng thuộc Dự án The Terra An Hưng.,(iv) Đảm bảo bởi tài sản mà Công ty đã và sẽ sở hữu phát sinh từ và/hoặc liên quan đến khối để công trình cao tầng thuộc Dự án The Terra An Hưng.,(iv) Đảm bảo bởi tài sản mà Công ty đã và sẽ sở hữu phát sinh từ và/hoặc liên quan đến khối để công trình cao tầng thuộc Dự án The Terra An Hưng.,(iv) Đảm bảo bởi tài sản mà Công ty đã và sẽ sở hữu phát sinh từ và/hoặc liên quan đến khối để công trình cao tầng thuộc Dự án The Terra An Hưng.,,,,
