row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: VND > Số cuối năm > Giá trị,Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: VND > Số cuối năm > Giá trị,numeric__Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngắn hàng(Thuyết minh 19.1),Vay ngắn hạn > Vay ngắn hàng(Thuyết minh 19.1),Vay ngắn hàng(Thuyết minh 19.1),455.453.824.126,455.453.824.126,99.552.721.512,(470.027.771.132),84.978.774.506,84.978.774.506,455453824126.0,455453824126.0,99552721512.0,-470027771132.0,84978774506.0,84978774506.0
Vay đổi tượng khác(Thuyết minh 19.3),Vay ngắn hạn > Vay đổi tượng khác(Thuyết minh 19.3),Vay đổi tượng khác(Thuyết minh 19.3),28.900.000.000,28.900.000.000,115.000.000.000,(115.000.000.000),28.900.000.000,28.900.000.000,28900000000.0,28900000000.0,115000000000.0,-115000000000.0,28900000000.0,28900000000.0
Trái phiếu phát hànhdài hạn đến hạn trả(Thuyết minh 19.4),Vay ngắn hạn > Trái phiếu phát hànhdài hạn đến hạn trả(Thuyết minh 19.4),Trái phiếu phát hànhdài hạn đến hạn trả(Thuyết minh 19.4),199.690.177.585,199.690.177.585,279.216.671.731,(300.000.000.000),178.906.849.316,178.906.849.316,199690177585.0,199690177585.0,279216671731.0,-300000000000.0,178906849316.0,178906849316.0
Vay ngân hàng dài hạnđến hạn trả(Thuyết minh 19.2),Vay ngắn hạn > Vay ngân hàng dài hạnđến hạn trả(Thuyết minh 19.2),Vay ngân hàng dài hạnđến hạn trả(Thuyết minh 19.2),-,-,4.984.504.552,-,4.984.504.552,4.984.504.552,,,4984504552.0,,4984504552.0,4984504552.0
,,,684.044.001.711,684.044.001.711,498.753.897.795,(885.027.771.132),297.770.128.374,297.770.128.374,684044001711.0,684044001711.0,498753897795.0,-885027771132.0,297770128374.0,297770128374.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng(Thuyết minh 19.2),Vay dài hạn > Vay ngân hàng(Thuyết minh 19.2),Vay ngân hàng(Thuyết minh 19.2),216.717.589.179,216.717.589.179,471.738.284.475,(221.702.093.731),466.753.779.923,466.753.779.923,216717589179.0,216717589179.0,471738284475.0,-221702093731.0,466753779923.0,466753779923.0
Trái phiếu phát hành(Thuyết minh 19.4),Vay dài hạn > Trái phiếu phát hành(Thuyết minh 19.4),Trái phiếu phát hành(Thuyết minh 19.4),276.834.900.028,276.834.900.028,432.531.418.798,(287.164.809.119),422.201.509.707,422.201.509.707,276834900028.0,276834900028.0,432531418798.0,-287164809119.0,422201509707.0,422201509707.0
,,,493.552.489.207,493.552.489.207,904.269.703.273,(508.866.902.850),888.955.289.630,888.955.289.630,493552489207.0,493552489207.0,904269703273.0,-508866902850.0,888955289630.0,888955289630.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.177.596.490.918,1.177.596.490.918,1.403.023.601.068,(1.393.894.673.982),1.186.725.418.004,1.186.725.418.004,1177596490918.0,1177596490918.0,1403023601068.0,-1393894673982.0,1186725418004.0,1186725418004.0
