row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải trả phí mua lại trái phiếu trước hạn,Ngắn hạn > Phải trả phí mua lại trái phiếu trước hạn,Phải trả phí mua lại trái phiếu trước hạn,5.400.000.000,5.400.000.000,5400000000.0,5400000000.0
Nhận đặt cọc hoàn thiện nhà tại các dự án,Ngắn hạn > Nhận đặt cọc hoàn thiện nhà tại các dự án,Nhận đặt cọc hoàn thiện nhà tại các dự án,20.550.400.000,5.218.000.000,20550400000.0,5218000000.0
"Nhận ký quỹ, ký cược","Ngắn hạn > Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",-,2.000.000.000,,2000000000.0
Kinh phí bảo trì khởi căn hộ cao tầng các dự án,Ngắn hạn > Kinh phí bảo trì khởi căn hộ cao tầng các dự án,Kinh phí bảo trì khởi căn hộ cao tầng các dự án,50.408.269.103,-,50408269103.0,
"Các khoản phải trả, phải nộp khác","Ngắn hạn > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",38.457.066.885,13.950.709.007,38457066885.0,13950709007.0
Phải trả ngắn hạn khác cho các bên liên quan(Thuyết minh số 29),Ngắn hạn > Phải trả ngắn hạn khác cho các bên liên quan(Thuyết minh số 29),Phải trả ngắn hạn khác cho các bên liên quan(Thuyết minh số 29),8.651.300.021,1.659.684.636,8651300021.0,1659684636.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,123.467.036.009,28.228.393.643,123467036009.0,28228393643.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Nhận đặt cọc hợp tác đầu tư Dự án Khu đỏ thị mới Cồn Khương (i),Dài hạn > Nhận đặt cọc hợp tác đầu tư Dự án Khu đỏ thị mới Cồn Khương (i),Nhận đặt cọc hợp tác đầu tư Dự án Khu đỏ thị mới Cồn Khương (i),625.000.000.000,625.000.000.000,625000000000.0,625000000000.0
Nhận góp vốn hợp tác đầu tư (ii),Dài hạn > Nhận góp vốn hợp tác đầu tư (ii),Nhận góp vốn hợp tác đầu tư (ii),129.531.937.398,118.696.962.300,129531937398.0,118696962300.0
Phải trả khác,Dài hạn > Phải trả khác,Phải trả khác,1.029.042.346,27.136.704.388,1029042346.0,27136704388.0
Phải trả dài hạn khác cho các bên liên quan(Thuyết minh số 29),Dài hạn > Phải trả dài hạn khác cho các bên liên quan(Thuyết minh số 29),Phải trả dài hạn khác cho các bên liên quan(Thuyết minh số 29),1.297.290.000,1.297.290.000,1297290000.0,1297290000.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,756.858.269.744,772.130.956.688,756858269744.0,772130956688.0
