row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí bán hàng Dự án The Terra An Hưng,Ngắn hạn > Chi phí bán hàng Dự án The Terra An Hưng,Chi phí bán hàng Dự án The Terra An Hưng,48.311.325.988,175.658.856.692,48311325988.0,175658856692.0
Thuế thu nhập doanh nghiệp tạm nộp,Ngắn hạn > Thuế thu nhập doanh nghiệp tạm nộp,Thuế thu nhập doanh nghiệp tạm nộp,6.151.601.436,16.702.647.914,6151601436.0,16702647914.0
"Công cụ, dụng cụ xuất dùng","Ngắn hạn > Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",626.986.878,176.427.262,626986878.0,176427262.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,2.261.115.294,2.945.736.494,2261115294.0,2945736494.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,57.351.029.596,195.483.668.362,57351029596.0,195483668362.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Công cụ, dụng cụ phục vụ Dự án Khu dịch vụ căn hộ khách sạn Hồ Tây","Dài hạn > Công cụ, dụng cụ phục vụ Dự án Khu dịch vụ căn hộ khách sạn Hồ Tây","Công cụ, dụng cụ phục vụ Dự án Khu dịch vụ căn hộ khách sạn Hồ Tây",98.026.981.597,121.832.671.225,98026981597.0,121832671225.0
Chi phí trả trước tiền thuê mặt bằng Dự án Khu dịch vụ căn hộ khách sạn Hồ Tây,Dài hạn > Chi phí trả trước tiền thuê mặt bằng Dự án Khu dịch vụ căn hộ khách sạn Hồ Tây,Chi phí trả trước tiền thuê mặt bằng Dự án Khu dịch vụ căn hộ khách sạn Hồ Tây,47.216.206.234,50.388.913.738,47216206234.0,50388913738.0
Chi phí cải tạo văn phòng tại số 104 Thái Thịnh,Dài hạn > Chi phí cải tạo văn phòng tại số 104 Thái Thịnh,Chi phí cải tạo văn phòng tại số 104 Thái Thịnh,10.444.048.441,19.643.376.209,10444048441.0,19643376209.0
"Công cụ, dụng cụ xuất dùng","Dài hạn > Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",185.026.314,541.552.883,185026314.0,541552883.0
Chi phí trả trước dài hạn khác,Dài hạn > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,3.163.734.418,6.434.396.015,3163734418.0,6434396015.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,159.035.997.004,198.840.910.070,159035997004.0,198840910070.0
