row_label_raw,row_label_full,col_0,Số đầu kỳ,Số phải thu trong kỳ,Số đã thu/bù trừ trong kỳ,Đơn vị tính: VND,numeric__Số đầu kỳ,numeric__Số phải thu trong kỳ,numeric__Số đã thu/bù trừ trong kỳ,numeric__Đơn vị tính: VND
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,118.563.062.410,(108.242.874.149),10.320.188.261,,118563062410.0,-108242874149.0,10320188261.0
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,1.770.412.499,-,1.770.412.499,,1770412499.0,,1770412499.0
Các loại thuế khác,Phải thu > Các loại thuế khác,Các loại thuế khác,-,8.225.850,-,8.225.850,,8225850.0,,8225850.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,-,120.341.700.759,(108.242.874.149),12.098.826.610,,120341700759.0,-108242874149.0,12098826610.0
