row_label_raw,row_label_full,Số tiền đi vay thực thu trong năm,Năm nay > Số tiền đi vay thực thu trong năm,Đơn vị tính: VND > Năm trước > Số tiền đi vay thực thu trong năm,numeric__Năm nay > Số tiền đi vay thực thu trong năm,numeric__Đơn vị tính: VND > Năm trước > Số tiền đi vay thực thu trong năm
Tiền thu từ đi vay theo khế ước thông thường,Tiền thu từ đi vay theo khế ước thông thường,Tiền thu từ đi vay theo khế ước thông thường,686.291.050.987,359.515.431.670,686291050987.0,359515431670.0
Tiền thu từ phát hành trái phiếu thường,Tiền thu từ phát hành trái phiếu thường,Tiền thu từ phát hành trái phiếu thường,428.862.197.125,372.988.990.301,428862197125.0,372988990301.0
Tiền thu từ phát hành trái phiếu chuyển đổi,Tiền thu từ phát hành trái phiếu chuyển đổi,Tiền thu từ phát hành trái phiếu chuyển đổi,688.697.771.182,-,688697771182.0,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Tiền thu từ phát hành trái phiếu tương ứng cấu phần vốn,Trong đó: > Tiền thu từ phát hành trái phiếu tương ứng cấu phần vốn,Tiền thu từ phát hành trái phiếu tương ứng cấu phần vốn,90.496.534.831,-,90496534831.0,
Tiền thu từ phát hành trái phiếu tương ứng cấu phần nợ,Trong đó: > Tiền thu từ phát hành trái phiếu tương ứng cấu phần nợ,Tiền thu từ phát hành trái phiếu tương ứng cấu phần nợ,598.201.236.351,-,598201236351.0,
