row_label_raw,row_label_full,Tên,Chức vụ,Đơn vị tính: VNDThu nhập > Năm nay,Đơn vị tính: VNDThu nhập > Năm trước,numeric__Chức vụ,numeric__Đơn vị tính: VNDThu nhập > Năm nay,numeric__Đơn vị tính: VNDThu nhập > Năm trước
Ông Tô Như Toàn,Ông Tô Như Toàn,Ông Tô Như Toàn,Chủ tịch HĐQT,2.754.477.156,2.581.713.600,,2754477156.0,2581713600.0
Ông Ngô Đức Long,Ông Ngô Đức Long,Ông Ngô Đức Long,Phụ trách quản trị đến ngày 29 tháng 6 năm 2021,60.000.000,115.000.000,,60000000.0,115000000.0
Ông Phạm Hồng Châu,Ông Phạm Hồng Châu,Ông Phạm Hồng Châu,Thành viên HĐQT/Phó Tổng Giám đốc,1.074.210.316,1.090.195.403,,1074210316.0,1090195403.0
Bà Nguyễn Diệu Tú,Bà Nguyễn Diệu Tú,Bà Nguyễn Diệu Tú,Thành viên HĐQT,557.773.691,115.000.000,,557773691.0,115000000.0
Ông Trịnh Thanh Hải,Ông Trịnh Thanh Hải,Ông Trịnh Thanh Hải,Thành viên HĐQT,558.333.333,383.333.333,,558333333.0,383333333.0
Ông Đoàn Châu Phong,Ông Đoàn Châu Phong,Ông Đoàn Châu Phong,Tổng Giám đốc đến ngày 1 tháng 8 năm 2021,1.162.514.880,2.109.745.762,,1162514880.0,2109745762.0
Ông Tô Như Thắng,Ông Tô Như Thắng,Ông Tô Như Thắng,Phó Tổng Giám đốc,1.300.862.291,1.573.658.800,,1300862291.0,1573658800.0
Ông Lâm Hoàng Đăng,Ông Lâm Hoàng Đăng,Ông Lâm Hoàng Đăng,Phó Tổng Giám đốc đến ngày 30 tháng 9 năm 2020,-,1.106.439.700,,,1106439700.0
Ông Nguyễn Minh Nguyên,Ông Nguyễn Minh Nguyên,Ông Nguyễn Minh Nguyên,Phó Tổng Giám đốc đến ngày 1 tháng 5 năm 2020,-,549.816.500,,,549816500.0
Bà Nguyễn Thu Hằng,Bà Nguyễn Thu Hằng,Bà Nguyễn Thu Hằng,Phó Tổng Giám đốc,1.771.157.189,940.302.023,,1771157189.0,940302023.0
Bà Đỗ Thị Thanh Phương,Bà Đỗ Thị Thanh Phương,Bà Đỗ Thị Thanh Phương,Thành viên HĐQT từ ngày 29 tháng 6 năm 2021,793.001.958,-,,793001958.0,
Ông Triệu Hữu Đại,Ông Triệu Hữu Đại,Ông Triệu Hữu Đại,Tổng Giám đốc từ ngày 1 tháng 8 năm 2021,929.905.085,-,,929905085.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,10.962.235.899,10.565.205.121,,10962235899.0,10565205121.0
