row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Đơn vị tính: VND > Số đã nộp trong năm,Đơn vị tính: VND > Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Đơn vị tính: VND > Số đã nộp trong năm,numeric__Đơn vị tính: VND > Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,9.825.398.172,-,(9.825.398.172),-,9825398172.0,,-9825398172.0,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,6.283.031.408,2.162.749.371,(8.445.780.779),-,6283031408.0,2162749371.0,-8445780779.0,
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,571.395.868,7.486.039.305,(7.553.430.396),504.004.777,571395868.0,7486039305.0,-7553430396.0,504004777.0
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,33.844.887,57.056.503,(90.901.390),-,33844887.0,57056503.0,-90901390.0,
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,16.713.670.335,9.705.845.179,(25.915.510.737),504.004.777,16713670335.0,9705845179.0,-25915510737.0,504004777.0
