row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm > DựGiá trị phòng,Đơn vị tính: VND > Số đầu năm > Giá trị,Đơn vị tính: VND > Số đầu năm > Dự phòng,numeric__Số cuối năm,numeric__Số cuối năm > DựGiá trị phòng,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị,numeric__Đơn vị tính: VND > Số đầu năm > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Ứng vốn và bồi thường giải phòng mặt bằng,Ngắn hạn > Ứng vốn và bồi thường giải phòng mặt bằng,Ứng vốn và bồi thường giải phòng mặt bằng,135.264.511.571,-,-,-,135264511571.0,,,
Ký quỹ thực hiện các dự án đầu tư,Ngắn hạn > Ký quỹ thực hiện các dự án đầu tư,Ký quỹ thực hiện các dự án đầu tư,45.103.591.900,-,-,-,45103591900.0,,,
Lãi cho vay dự thu,Ngắn hạn > Lãi cho vay dự thu,Lãi cho vay dự thu,37.928.223.104,-,32.243.900.303,-,37928223104.0,,32243900303.0,
Đặt cọc thực hiện hợp đồng,Ngắn hạn > Đặt cọc thực hiện hợp đồng,Đặt cọc thực hiện hợp đồng,-,-,232.000.000.000,-,,,232000000000.0,
Tạm ứng cho nhân viên,Ngắn hạn > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,18.735.950.889,-,626.625.500,-,18735950889.0,,626625500.0,
Phải thu ngắn hạn khác bên liên quan,Ngắn hạn > Phải thu ngắn hạn khác bên liên quan,Phải thu ngắn hạn khác bên liên quan,25.675.258.964,-,3.725.073.622,-,25675258964.0,,3725073622.0,
(Thuyết minh số 29),Ngắn hạn > (Thuyết minh số 29),(Thuyết minh số 29),3.108.136.988,-,550.000.000,-,3108136988.0,,550000000.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,265.815.673.416,-,269.145.599.425,-,265815673416.0,,269145599425.0,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Đặt cọc hợp tác đầu tư,Dài hạn > Đặt cọc hợp tác đầu tư,Đặt cọc hợp tác đầu tư,-,-,230.000.000.000,-,,,230000000000.0,
Ký quỹ thực hiện các dự án đầu tư,Dài hạn > Ký quỹ thực hiện các dự án đầu tư,Ký quỹ thực hiện các dự án đầu tư,-,-,45.029.591.900,-,,,45029591900.0,
Phải thu dài hạn khác,Dài hạn > Phải thu dài hạn khác,Phải thu dài hạn khác,9.729.779.525,-,7.943.164.988,-,9729779525.0,,7943164988.0,
Phải thu dài hạn khác từ các bên liên quan(Thuyết minh số 29),Dài hạn > Phải thu dài hạn khác từ các bên liên quan(Thuyết minh số 29),Phải thu dài hạn khác từ các bên liên quan(Thuyết minh số 29),612.580.096.172,-,118.285.360.000,-,612580096172.0,,118285360000.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,622.309.875.697,-,401.258.116.888,-,622309875697.0,,401258116888.0,
