row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,"Thiết bị, dụng cụquản lý",Tài sản khác,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,"numeric__Thiết bị, dụng cụquản lý",numeric__Tài sản khác,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
"Ngày 31 tháng 12 năm 2020- Mua trong năm- Thanh lý, nhượng bán","Ngày 31 tháng 12 năm 2020- Mua trong năm- Thanh lý, nhượng bán","Ngày 31 tháng 12 năm 2020- Mua trong năm- Thanh lý, nhượng bán",580.180.516.407-,5.469.853.015-,10.329.462.4248.140.280.000(593.313.333),3.264.907.203236.252.726-,9.038.686.53060.000.000-,608.283.425.5798.436.532.726(593.313.333),,,,,,
Ngày 31 tháng 12 năm 2021,"Ngày 31 tháng 12 năm 2020- Mua trong năm- Thanh lý, nhượng bán > Ngày 31 tháng 12 năm 2021",Ngày 31 tháng 12 năm 2021,580.180.516.407,5.469.853.015,17.876.429.091,3.501.159.929,9.098.686.530,616.126.644.972,580180516407.0,5469853015.0,17876429091.0,3501159929.0,9098686530.0,616126644972.0
Trong đó:Dã khấu hao hết,"Ngày 31 tháng 12 năm 2020- Mua trong năm- Thanh lý, nhượng bán > Trong đó:Dã khấu hao hết",Trong đó:Dã khấu hao hết,-,-,-,1.307.927.203,-,1.307.927.203,,,,1307927203.0,,1307927203.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
"Ngày 31 tháng 12 năm 2020- Khấu hao trong năm- Thanh lý, nhượng bán","Ngày 31 tháng 12 năm 2020- Khấu hao trong năm- Thanh lý, nhượng bán","Ngày 31 tháng 12 năm 2020- Khấu hao trong năm- Thanh lý, nhượng bán",13.713.357.65812.947.820.780-,903.896.787779.964.967-,5.968.175.0532.899.225.952(593.313.333),2.179.113.780708.774.829-,1.549.313.8621.373.877.975-,24.313.857.14018.709.664.503(593.313.333),,,,,,
Ngày 31 tháng 12 năm 2021,"Ngày 31 tháng 12 năm 2020- Khấu hao trong năm- Thanh lý, nhượng bán > Ngày 31 tháng 12 năm 2021",Ngày 31 tháng 12 năm 2021,26.661.178.438,1.683.861.754,8.274.087.672,2.887.888.609,2.923.191.837,42.430.208.310,26661178438.0,1683861754.0,8274087672.0,2887888609.0,2923191837.0,42430208310.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Ngày 31 tháng 12 năm 2020,Giá trị còn lại: > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,566.467.158.749,4.565.956.228,4.361.287.371,1.085.793.423,7.489.372.668,583.969.568.439,566467158749.0,4565956228.0,4361287371.0,1085793423.0,7489372668.0,583969568439.0
Ngày 31 tháng 12 năm 2021,Giá trị còn lại: > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,553.519.337.969,3.785.991.261,9.602.341.419,613.271.320,6.175.494.693,573.696.436.662,553519337969.0,3785991261.0,9602341419.0,613271320.0,6175494693.0,573696436662.0
