row_label_raw,row_label_full,col_0,Loại tiền,Lãi suất năm,Nămđáo hạn,31/12/2022VND,1/1/2022VND,numeric__Loại tiền,numeric__Lãi suất năm,numeric__Nămđáo hạn,numeric__31/12/2022VND,numeric__1/1/2022VND
Trái phiếu phát hành theo mênh giá,Trái phiếu phát hành theo mênh giá,Trái phiếu phát hành theo mênh giá,Trái phiếu phát hành theo mênh giá,Trái phiếu phát hành theo mênh giá,Trái phiếu phát hành theo mênh giá,Trái phiếu phát hành theo mênh giá,Trái phiếu phát hành theo mênh giá,,,,,
Lô 1,Trái phiếu phát hành theo mênh giá > Lô 1,Lô 1,VND,Lãi suất huy độngtiết kiệm bằng tiềnVND kỳ hạn,2027,300.000.000.000,-,,,2027.0,300000000000.0,
Lô 2,Trái phiếu phát hành theo mênh giá > Lô 2,Lô 2,VND,12 tháng cộng biên độLãi suất huy độngtiết kiệm bằng tiềnVND kỳ hạn12 tháng cộng biên độ,2027,900.000.000.000,-,,,2027.0,900000000000.0,
Chi phí phát hành trái phiếu,Trái phiếu phát hành theo mênh giá > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(20.834.250.223),-,,,,-20834250223.0,
Trái phiếu đáo hạn sau 12 tháng,Trái phiếu phát hành theo mênh giá > Trái phiếu đáo hạn sau 12 tháng,Trái phiếu đáo hạn sau 12 tháng,Trái phiếu đáo hạn sau 12 tháng,Trái phiếu đáo hạn sau 12 tháng,Trái phiếu đáo hạn sau 12 tháng,1.179.165.749.777,-,,,,1179165749777.0,
