row_label_raw,row_label_full,col_0,Khu văn phòng tại Chung cư Nàng Hương VND,Khu văn phòng tại Chung cư Mỹ Đình Plaza VND,Khu văn phòng tại Chung cư PCC1 Hà Đông Complex VND,Khu văn phòng tại Chung cư Mỹ Đình Plaza 2 VND,Tổng cộng VND,numeric__Khu văn phòng tại Chung cư Nàng Hương VND,numeric__Khu văn phòng tại Chung cư Mỹ Đình Plaza VND,numeric__Khu văn phòng tại Chung cư PCC1 Hà Đông Complex VND,numeric__Khu văn phòng tại Chung cư Mỹ Đình Plaza 2 VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,11.076.525.175,90.477.826.874,24.269.520.970,-,125.823.873.019,11076525175.0,90477826874.0,24269520970.0,,125823873019.0
Chuyển từ xây dựng dở dang,Nguyên giá > Chuyển từ xây dựng dở dang,Chuyển từ xây dựng dở dang,-,-,-,85.886.865.376,85.886.865.376,,,,85886865376.0,85886865376.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,11.076.525.175,90.477.826.874,24.269.520.970,85.886.865.376,211.710.738.395,11076525175.0,90477826874.0,24269520970.0,85886865376.0,211710738395.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.500.492.554,30.691.661.320,5.345.943.778,-,40.538.097.652,4500492554.0,30691661320.0,5345943778.0,,40538097652.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,398.779.182,4.372.488.545,970.780.835,865.927.846,6.607.976.408,398779182.0,4372488545.0,970780835.0,865927846.0,6607976408.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.899.271.736,35.064.149.865,6.316.724.613,865.927.846,47.146.074.060,4899271736.0,35064149865.0,6316724613.0,865927846.0,47146074060.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,6.576.032.621,59.786.165.554,18.923.577.192,-,85.285.775.367,6576032621.0,59786165554.0,18923577192.0,,85285775367.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,6.177.253.439,55.413.677.009,17.952.796.357,85.020.937.530,164.564.664.335,6177253439.0,55413677009.0,17952796357.0,85020937530.0,164564664335.0
