row_label_raw,row_label_full,col_0,Địa chỉ,% sở hữu và % quyền biểu quyết,1/1/2022 > Giá gốc VND,1/1/2022 > Dự phòng VND,1/1/2022 > Giá trị hợp lý VND,numeric__Địa chỉ,numeric__% sở hữu và % quyền biểu quyết,numeric__1/1/2022 > Giá gốc VND,numeric__1/1/2022 > Dự phòng VND,numeric__1/1/2022 > Giá trị hợp lý VND
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,
• Công ty Cổ phần Gang thép Cao Bằng,Công ty liên kết > • Công ty Cổ phần Gang thép Cao Bằng,• Công ty Cổ phần Gang thép Cao Bằng,Cao Bằng,"25,09%",124.748.756.168,-,(**),,0.2509,124748756168.0,,
• Công ty Cổ phần Đầu tư Bất động sản CT2,Công ty liên kết > • Công ty Cổ phần Đầu tư Bất động sản CT2,• Công ty Cổ phần Đầu tư Bất động sản CT2,Hà Nội,"49,00%",300.000.000.000,-,(**),,0.49,300000000000.0,,
,,,,,424.748.756.168,-,,,,424748756168.0,,
Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,,,,,
• Công ty Cổ phần Western Pacific (*),Đơn vị khác > • Công ty Cổ phần Western Pacific (*),• Công ty Cổ phần Western Pacific (*),TP Hồ Chí Minh,7%,210.000.000.000,-,(**),,0.07,210000000000.0,,
• Công ty Cổ phần Bê tông Ly tâm Vinaincon,Đơn vị khác > • Công ty Cổ phần Bê tông Ly tâm Vinaincon,• Công ty Cổ phần Bê tông Ly tâm Vinaincon,Hải Dương,10%,4.000.000.000,(2.598.384.961),(**),,0.1,4000000000.0,-2598384961.0,
• Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Đơn vị khác > • Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,• Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Hà Nội,"0,00115%",821.770.000,-,1.722.590.100,,1.15e-05,821770000.0,,1722590100.0
,,,,,214.821.770.000,(2.598.384.961),,,,214821770000.0,-2598384961.0,
,,,,,3.450.506.968.260,(2.598.384.961),,,,3450506968260.0,-2598384961.0,
