row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2021,Số dư tại ngày 1/1/2021,Số dư tại ngày 1/1/2021,1.911.881.590.000,711.136.556.786,(4.320.000),150.234.491.671,64.632.444.542,1.097.252.251.516,3.935.133.014.515,1911881590000.0,711136556786.0,-4320000.0,150234491671.0,64632444542.0,1097252251516.0,3935133014515.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,310.925.225.021,310.925.225.021,,,,,,310925225021.0,310925225021.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,47.797.039.750,-,(47.797.039.750),-,,,,47797039750.0,,-47797039750.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(34.020.927.825),(34.020.927.825),,,,,,-34020927825.0,-34020927825.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,382.369.490.000,-,-,-,-,(382.369.490.000),-,382369490000.0,,,,,-382369490000.0,
Tăng vốn góp theo chương trình ESOP,Tăng vốn góp theo chương trình ESOP,Tăng vốn góp theo chương trình ESOP,57.345.410.000,-,4.320.000,-,-,-,57.349.730.000,57345410000.0,,4320000.0,,,,57349730000.0
Số dư tại ngày 1/1/2022,Số dư tại ngày 1/1/2022,Số dư tại ngày 1/1/2022,2.351.596.490.000,711.136.556.786,-,198.031.531.421,64.632.444.542,943.990.018.962,4.269.387.041.711,2351596490000.0,711136556786.0,,198031531421.0,64632444542.0,943990018962.0,4269387041711.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,667.920.895.175,667.920.895.175,,,,,,667920895175.0,667920895175.0
Trích quỹ đầu tư phát triển (i),Trích quỹ đầu tư phát triển (i),Trích quỹ đầu tư phát triển (i),-,-,-,15.546.261.251,-,(15.546.261.251),-,,,,15546261251.0,,-15546261251.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(40.800.767.447),(40.800.767.447),,,,,,-40800767447.0,-40800767447.0
Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),352.733.530.000,-,-,-,-,(352.733.530.000),-,352733530000.0,,,,,-352733530000.0,
"Thù lao Hội đồng Quản trị, Ban Kiểm soát","Thù lao Hội đồng Quản trị, Ban Kiểm soát","Thù lao Hội đồng Quản trị, Ban Kiểm soát",-,-,-,-,-,(3.685.000.000),(3.685.000.000),,,,,,-3685000000.0,-3685000000.0
Số dư tại ngày 31/12/2022,Số dư tại ngày 31/12/2022,Số dư tại ngày 31/12/2022,2.704.330.020.000,711.136.556.786,-,213.577.792.672,64.632.444.542,1.199.145.355.439,4.892.822.169.439,2704330020000.0,711136556786.0,,213577792672.0,64632444542.0,1199145355439.0,4892822169439.0
