row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Vốn khác thuộc chủ sở hữu,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Vốn khác thuộc chủ sở hữu,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,3.500.000.000.000,-,796.775.668,163.590.974.164,48.852.285,1.522.905.451.013,72.241.957.658,5.259.584.010.788,3500000000000.0,,796775668.0,163590974164.0,48852285.0,1522905451013.0,72241957658.0,5259584010788.0
- Lợi nhuận thuần trong năm,Năm trước > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,-,291.514.946.018,9.228.008.376,300.742.954.394,,,,,,291514946018.0,9228008376.0,300742954394.0
- Chia cổ tức,Năm trước > - Chia cổ tức,- Chia cổ tức,-,-,-,-,-,(630.000.000.000),(4.557.905.012),(634.557.905.012),,,,,,-630000000000.0,-4557905012.0,-634557905012.0
- Trích quỹ khen thưởng phúc lợi,Năm trước > - Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,(34.965.197.960),(2.050.793.587),(37.015.991.547),,,,,,-34965197960.0,-2050793587.0,-37015991547.0
- Trích quỹ đầu tư phát triển,Năm trước > - Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,-,-,-,83.857.697.448,-,(83.857.697.448),-,-,,,,83857697448.0,,-83857697448.0,,
- Tăng/(giảm) khác,Năm trước > - Tăng/(giảm) khác,- Tăng/(giảm) khác,-,-,2.677.904.063,-,-,(4.087.511.860),-,(1.409.607.797),,,2677904063.0,,,-4087511860.0,,-1409607797.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,3.500.000.000.000,-,3.474.679.731,247.448.671.612,48.852.285,1.061.509.989.763,74.861.267.435,4.887.343.460.826,3500000000000.0,,3474679731.0,247448671612.0,48852285.0,1061509989763.0,74861267435.0,4887343460826.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,3.500.000.000.000,-,3.474.679.731,247.448.671.612,48.852.285,1.061.509.989.763,74.861.267.435,4.887.343.460.826,3500000000000.0,,3474679731.0,247448671612.0,48852285.0,1061509989763.0,74861267435.0,4887343460826.0
- Tăng trong năm,Năm nay > - Tăng trong năm,- Tăng trong năm,-,9.015.428.100,-,(5.376.578.100),-,(3.638.850.000),-,-,,9015428100.0,,-5376578100.0,,-3638850000.0,,
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,-,276.706.843.846,11.421.418.728,288.128.262.574,,,,,,276706843846.0,11421418728.0,288128262574.0
- Chia cổ tức (i),Năm nay > - Chia cổ tức (i),- Chia cổ tức (i),-,-,-,-,-,(311.150.000.000),(2.910.377.826),(314.060.377.826),,,,,,-311150000000.0,-2910377826.0,-314060377826.0
- Trích quỹ khen thưởng phúc lợi (ii),Năm nay > - Trích quỹ khen thưởng phúc lợi (ii),- Trích quỹ khen thưởng phúc lợi (ii),-,-,-,-,-,(32.174.530.733),(1.218.746.913),(33.393.277.646),,,,,,-32174530733.0,-1218746913.0,-33393277646.0
- Trích quỹ đầu tư phát triển (iii),Năm nay > - Trích quỹ đầu tư phát triển (iii),- Trích quỹ đầu tư phát triển (iii),-,-,-,4.346.471.300,-,(4.346.471.300),-,-,,,,4346471300.0,,-4346471300.0,,
- Tăng/(giảm) khác,Năm nay > - Tăng/(giảm) khác,- Tăng/(giảm) khác,-,-,(4.725.760.224),-,-,(6.333.874.740),-,(11.059.634.964),,,-4725760224.0,,,-6333874740.0,,-11059634964.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,3.500.000.000.000,9.015.428.100,(1.251.080.493),246.418.564.812,48.852.285,980.573.106.836,82.153.561.424,4.816.958.432.964,3500000000000.0,9015428100.0,-1251080493.0,246418564812.0,48852285.0,980573106836.0,82153561424.0,4816958432964.0
