row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND,numeric__Năm nay,numeric__Đơn vị tính: VND
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,1.981.966.502.661,1.849.822.727.619,1981966502661.0,1849822727619.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu từ kinh doanh thương mại gỗ,Trong đó: > Doanh thu từ kinh doanh thương mại gỗ,Doanh thu từ kinh doanh thương mại gỗ,774.706.926.831,733.831.358.711,774706926831.0,733831358711.0
Doanh thu từ bán thành phẩm sản xuất từ gỗ,Trong đó: > Doanh thu từ bán thành phẩm sản xuất từ gỗ,Doanh thu từ bán thành phẩm sản xuất từ gỗ,952.497.754.703,876.368.064.316,952497754703.0,876368064316.0
Doanh thu từ hoạt động khai thác rừng trồng,Trong đó: > Doanh thu từ hoạt động khai thác rừng trồng,Doanh thu từ hoạt động khai thác rừng trồng,102.282.056.920,106.092.304.834,102282056920.0,106092304834.0
Doanh thu từ dịch vụ,Trong đó: > Doanh thu từ dịch vụ,Doanh thu từ dịch vụ,126.443.746.711,103.695.442.102,126443746711.0,103695442102.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,26.036.017.496,29.835.557.656,26036017496.0,29835557656.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,842.018.039,860.519.149,842018039.0,860519149.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Hàng bán bị trả lại,Trong đó: > Hàng bán bị trả lại,Hàng bán bị trả lại,-,453.934.890,,453934890.0
Giảm giá hàng bán,Trong đó: > Giảm giá hàng bán,Giảm giá hàng bán,842.018.039,406.584.259,842018039.0,406584259.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,1.981.124.484.622,1.848.962.208.470,1981124484622.0,1848962208470.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu với các bên khác,Trong đó: > Doanh thu với các bên khác,Doanh thu với các bên khác,1.623.497.072.313,1.686.850.408.631,1623497072313.0,1686850408631.0
Doanh thu với các bên liên quan (Thuyết minh số 33),Trong đó: > Doanh thu với các bên liên quan (Thuyết minh số 33),Doanh thu với các bên liên quan (Thuyết minh số 33),357.627.412.309,162.111.799.839,357627412309.0,162111799839.0
