row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,Tài sản cố địnhkhác,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sản cố địnhkhác,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,352.667.319.012,453.397.331.918,66.073.780.689,64.301.867.029,7.223.068.322,943.663.366.970,352667319012.0,453397331918.0,66073780689.0,64301867029.0,7223068322.0,943663366970.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,2.431.266.573,13.793.009.184,1.665.354.545,49.090.909,4.660.463.045,22.599.184.256,2431266573.0,13793009184.0,1665354545.0,49090909.0,4660463045.0,22599184256.0
- Đầu tư XDCB hoàn thành,Nguyên giá: > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,3.489.613.434,827.920.836,-,-,-,4.317.534.270,3489613434.0,827920836.0,,,,4317534270.0
- Phân loại lại từ bắt độngsản đầu tư,Nguyên giá: > - Phân loại lại từ bắt độngsản đầu tư,- Phân loại lại từ bắt độngsản đầu tư,27.929.469.750,-,-,-,-,27.929.469.750,27929469750.0,,,,,27929469750.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(1.624.434.148),(1.589.446.876),(2.314.638.611),(228.026.012),(186.756.977),(5.943.302.624),-1624434148.0,-1589446876.0,-2314638611.0,-228026012.0,-186756977.0,-5943302624.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,384.893.234.621,466.428.815.062,65.424.496.623,64.122.931.926,11.696.774.390,992.566.252.622,384893234621.0,466428815062.0,65424496623.0,64122931926.0,11696774390.0,992566252622.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,75.830.656.560,266.180.367.860,7.901.438.037,52.869.077.230,-,402.781.539.687,75830656560.0,266180367860.0,7901438037.0,52869077230.0,,402781539687.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,270.838.335.865,379.873.975.713,44.042.833.988,61.291.971.814,6.341.633.167,762.388.750.547,270838335865.0,379873975713.0,44042833988.0,61291971814.0,6341633167.0,762388750547.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,11.108.576.472,18.960.521.821,5.645.017.363,844.638.783,407.002.270,36.965.756.709,11108576472.0,18960521821.0,5645017363.0,844638783.0,407002270.0,36965756709.0
- Phân loại lại từ bắt độngsản đầu tư,Giá trị khấu hao lũy kế: > - Phân loại lại từ bắt độngsản đầu tư,- Phân loại lại từ bắt độngsản đầu tư,5.796.229.119,-,-,-,-,5.796.229.119,5796229119.0,,,,,5796229119.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(1.512.047.646),(1.259.799.599),(1.660.131.928),(224.332.492),(158.566.242),(4.814.877.907),-1512047646.0,-1259799599.0,-1660131928.0,-224332492.0,-158566242.0,-4814877907.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,286.231.093.810,397.574.697.935,48.027.719.423,61.912.278.105,6.590.069.195,800.335.858.468,286231093810.0,397574697935.0,48027719423.0,61912278105.0,6590069195.0,800335858468.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,81.828.983.147,73.523.356.205,22.030.946.701,3.009.895.215,881.435.155,181.274.616.423,81828983147.0,73523356205.0,22030946701.0,3009895215.0,881435155.0,181274616423.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,98.662.140.811,68.854.117.127,17.396.777.200,2.210.653.821,5.106.705.195,192.230.394.154,98662140811.0,68854117127.0,17396777200.0,2210653821.0,5106705195.0,192230394154.0
