row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm > Giá trị,Đơn vị tính: VND > Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị,numeric__Đơn vị tính: VND > Số đầu năm > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Phải thu về lãi tiền gửi,Ngắn hạn > Phải thu về lãi tiền gửi,Phải thu về lãi tiền gửi,54.424.298.278,-,75.051.804.779,-,54424298278.0,,75051804779.0,
Phải thu các đội thi công và xưởng chế biến khai thác,Ngắn hạn > Phải thu các đội thi công và xưởng chế biến khai thác,Phải thu các đội thi công và xưởng chế biến khai thác,18.824.064.681,(16.516.984.522),17.630.932.881,(15.808.889.217),18824064681.0,-16516984522.0,17630932881.0,-15808889217.0
Tạm ứng cho cán bộ công nhân viên,Ngắn hạn > Tạm ứng cho cán bộ công nhân viên,Tạm ứng cho cán bộ công nhân viên,10.638.480.584,-,6.821.159.813,(226.526.213),10638480584.0,,6821159813.0,-226526213.0
Phải thu về cổ phần hóa các công ty liên kết,Ngắn hạn > Phải thu về cổ phần hóa các công ty liên kết,Phải thu về cổ phần hóa các công ty liên kết,2.814.252.179,(2.327.220.710),3.169.764.000,(2.327.220.710),2814252179.0,-2327220710.0,3169764000.0,-2327220710.0
Phải thu ngắn hạn khác,Ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,11.341.923.915,(4.903.742.779),10.219.606.246,(4.108.544.488),11341923915.0,-4903742779.0,10219606246.0,-4108544488.0
Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 33),Ngắn hạn > Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 33),Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 33),3.055.511.705,-,3.055.511.705,-,3055511705.0,,3055511705.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,101.098.531.342,(23.747.948.011),115.948.779.424,(22.471.180.628),101098531342.0,-23747948011.0,115948779424.0,-22471180628.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,,,
Đầu tư dự án liên doanh trồng rừng (*),Dải hạn > Đầu tư dự án liên doanh trồng rừng (*),Đầu tư dự án liên doanh trồng rừng (*),1.237.478.870,-,2.498.361.159,-,1237478870.0,,2498361159.0,
"Ký quỹ, ký cược dài hạn","Dải hạn > Ký quỹ, ký cược dài hạn","Ký quỹ, ký cược dài hạn",1.550.443.370,-,1.543.968.500,-,1550443370.0,,1543968500.0,
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,2.787.922.240,-,4.042.329.659,-,2787922240.0,,4042329659.0,
