row_label_raw,row_label_full,Các khoản chi phí bán hàng phát sinh trong năm,Năm nay > Các khoản chi phí bán hàng phát sinh trong năm,Đơn vị tính: VND > Năm trước > Các khoản chi phí bán hàng phát sinh trong năm,numeric__Năm nay > Các khoản chi phí bán hàng phát sinh trong năm,numeric__Đơn vị tính: VND > Năm trước > Các khoản chi phí bán hàng phát sinh trong năm
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,10.139.061.249,9.788.139.618,10139061249.0,9788139618.0
Chi phí nguyên vật liệu,Chi phí nguyên vật liệu,Chi phí nguyên vật liệu,34.762.147.887,30.660.368.726,34762147887.0,30660368726.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,36.869.381.204,39.428.085.361,36869381204.0,39428085361.0
Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,574.488.836,274.537.477,574488836.0,274537477.0
Chi phí bằng tiền khác,Chi phí bằng tiền khác,Chi phí bằng tiền khác,1.763.444.495,3.713.783.262,1763444495.0,3713783262.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,84.108.523.671,83.864.914.444,84108523671.0,83864914444.0
Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,,
Chi phí nhân công,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí nhân công,Chi phí nhân công,127.808.201.741,127.487.283.231,127808201741.0,127487283231.0
Chi phí khấu hao TSCĐ,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,9.693.724.188,10.457.309.051,9693724188.0,10457309051.0
"Thuế, phí, và lệ phí","Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Thuế, phí, và lệ phí","Thuế, phí, và lệ phí",6.624.169.530,3.307.044.425,6624169530.0,3307044425.0
"Chi phí nguyên liệu, vật liệu","Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",2.173.202.267,3.443.916.959,2173202267.0,3443916959.0
Chi phí dự phòng,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí dự phòng,Chi phí dự phòng,9.422.651.340,3.359.680.211,9422651340.0,3359680211.0
Chi phí dịch vụ mua ngoài,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,27.419.814.492,30.149.574.643,27419814492.0,30149574643.0
Chi phí khác (*),Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí khác (*),Chi phí khác (*),61.028.163.181,72.511.908.115,61028163181.0,72511908115.0
TỔNG CỘNG,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > TỔNG CỘNG,TỔNG CỘNG,244.169.926.739,250.716.716.635,244169926739.0,250716716635.0
