row_label_raw,row_label_full,col_0,Nhà cửa,Quyền sử dụng đất,"Mãy móc, thiết bị",Tổng cộng,numeric__Nhà cửa,numeric__Quyền sử dụng đất,"numeric__Mãy móc, thiết bị",numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,280.899.502.292,2.330.218.560,50.854.067.382,334.083.788.234,280899502292.0,2330218560.0,50854067382.0,334083788234.0
- Đầu tư XDCB hoàn thành,Nguyên giá: > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,1.469.024.042,-,-,1.469.024.042,1469024042.0,,,1469024042.0
- Phân loại lại sang tài sản cố định hữu hình,Nguyên giá: > - Phân loại lại sang tài sản cố định hữu hình,- Phân loại lại sang tài sản cố định hữu hình,(27.929.469.750),,-,(27.929.469.750),-27929469750.0,,,-27929469750.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,254.439.056.584,2.330.218.560,50.854.067.382,307.623.342.526,254439056584.0,2330218560.0,50854067382.0,307623342526.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,1.996.394.818,-,-,1.996.394.818,1996394818.0,,,1996394818.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,67.473.533.611,-,38.054.804.044,105.528.337.655,67473533611.0,,38054804044.0,105528337655.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,6.884.766.472,-,7.903.531.330,14.788.297.802,6884766472.0,,7903531330.0,14788297802.0
- Phân loại lại sang tài sản cố định hữu hình,Giá trị khấu hao lũy kế: > - Phân loại lại sang tài sản cố định hữu hình,- Phân loại lại sang tài sản cố định hữu hình,(5.796.229.119),-,-,(5.796.229.119),-5796229119.0,,,-5796229119.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,68.562.070.964,-,45.958.335.374,114.520.406.338,68562070964.0,,45958335374.0,114520406338.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,213.425.968.681,2.330.218.560,12.799.263.338,228.555.450.579,213425968681.0,2330218560.0,12799263338.0,228555450579.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,185.876.985.620,2.330.218.560,4.895.732.008,193.102.936.188,185876985620.0,2330218560.0,4895732008.0,193102936188.0
